PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,,,
1,2026-01-15,20:27.0,1,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Williams, Ben",831962,Right,BOC_EAG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.71269,-1.988491,1.058043,2205.17882,167.654464,11:30,5.99155,-0.89332,5.82062,-18.53316,17.57056,-3.55906,2.59732,-0.20611,80.05261,-5.519034,0.420023,0.432461,99.02753,-13.347405,-15.0655,,,,,13.04882,12.42295,-11.716842,0.07846,2.16784,10.00371,0.80896,50,5.81816,-2.2249,-128.60608,-5.01613,3.57563,30.44573,-15.67395,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,038161a0-f258-11f0-99a1-27b08f981295,87.15795,2.63524,,8.66009,,,,2.05186,2.63524,0.23703,,,
2,2026-01-15,21:06.5,2,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Wang, Nick",813482,Right,BOC_EAG,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.05001,-0.957754,1.589331,1625.310138,117.465196,10:00,5.91622,-1.17566,5.69909,-34.89506,7.88189,-12.59418,2.1154,-0.74379,74.49934,-7.388618,-0.665407,0.470735,,,,,,,,,,,,6.83134,4.68701,1.05019,50,5.81415,-2.77029,-117.69788,-3.09873,9.59378,22.09393,-25.5917,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,1b082d90-f258-11f0-99a1-27b08f981295,80.07147,,,6.55067,,,,,,,,,
3,2026-01-15,21:23.0,2,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Wang, Nick",813482,Right,BOC_EAG,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.72637,-2.216294,0.1661,2170.333356,159.487072,11:15,6.00016,-1.02396,5.66239,-15.63938,19.6047,-6.88548,2.62919,-1.44286,81.51324,-5.201155,-1.064614,0.427282,,,,,,,,,,,,3.5104,10.92568,1.01418,50,5.80292,-0.06719,-130.10633,-5.48372,5.98034,28.85651,-13.5609,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,24b54a30-f258-11f0-99a1-27b08f981295,88.21446,,,8.21312,,,,,,,,,
4,2026-01-15,21:41.0,2,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Wang, Nick",813482,Right,BOC_EAG,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,81.63935,-2.207822,3.298486,1576.9581,130.542362,10:15,5.84175,-1.13815,5.80437,-30.6097,11.9091,-12.20103,1.23323,0.9161,74.37635,-7.893729,1.113952,0.469312,104.86243,18.651942,-21.93695,1666.411166,98.98177,30.14562,-47.98407,330.15393,321.59661,-32.289797,3.23413,7.2678,7.17311,0.87469,50,5.64201,-6.34528,-118.25227,-5.51118,10.20276,24.35714,-22.1042,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,2f928260-f258-11f0-99a1-27b08f981295,80.31421,36.96195,,7.26301,,,,1.73102,1.34515,-0.95724,,,
5,2026-01-15,22:17.0,3,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Toomey, Jack",809057,Right,BOC_EAG,Undefined,1,Top,2,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.40103,0.807522,-0.324908,2311.757377,257.396836,2:30,5.90495,-1.26434,5.57046,-39.69727,3.05654,7.55048,3.3512,-0.93863,74.40879,-6.490891,1.023241,0.470608,,,,,,,,,,,,-3.88457,1.76941,1.2874,50,5.94876,0.3609,-118.17331,0.31103,-5.47841,23.08347,-29.67865,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,44efdea0-f258-11f0-99a1-27b08f981295,80.09314,,,6.99225,,,,,,,,,
6,2026-01-15,22:30.2,3,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Toomey, Jack",809057,Right,BOC_EAG,Undefined,1,Top,2,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.90472,-4.155949,3.175868,1494.813425,114.500975,9:45,5.81197,-1.12107,5.71391,-32.08805,10.87205,-20.26186,-0.74642,0.15207,74.16073,-10.079622,-0.452479,0.471741,,,,,,,,,,,,11.5606,7.36422,0.8686,50,5.44347,-5.79073,-118.3367,-9.61865,16.06394,26.80911,-21.94118,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,4cdea970-f258-11f0-99a1-27b08f981295,79.90065,,,7.74399,,,,,,,,,
7,2026-01-15,22:50.8,3,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Toomey, Jack",809057,Right,BOC_EAG,Undefined,1,Top,2,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.19164,-2.054176,0.985517,2156.88696,160.763425,11:15,5.96966,-1.08261,5.78376,-16.03269,21.12418,-6.83693,2.72137,-0.73537,78.32915,-5.178196,-0.239098,0.438724,73.62453,31.351899,135.133665,3300.53613,,,,,38.98311,,,3.81276,11.90075,1.00539,50,5.79096,-1.89179,-127.58448,-4.98711,6.09594,33.58693,-13.14683,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,5932f140-f258-11f0-99a1-27b08f981295,85.91388,21.77789,,9.86249,,,,-0.65049,2.67411,0.67227,,,
8,2026-01-15,23:11.9,3,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Toomey, Jack",809057,Right,BOC_EAG,Undefined,1,Top,2,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.35393,-2.098673,3.687413,1497.415421,96.897897,9:15,5.85565,-1.10452,5.85374,-40.23325,3.75579,-18.14836,0.54799,0.814,73.18248,-9.50468,0.431295,0.477357,,,,,,,,,,,,10.41233,3.05795,0.81519,50,5.66156,-6.79575,-116.33834,-5.55796,14.09355,24.34904,-28.03497,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,65c330a0-f258-11f0-99a1-27b08f981295,78.96064,,,7.17145,,,,,,,,,
9,2026-01-15,23:30.1,3,5,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Toomey, Jack",809057,Right,BOC_EAG,Undefined,1,Top,2,3,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,88.5071,-2.287225,1.282492,2159.98101,165.470154,11:30,5.93257,-0.99307,5.85285,-18.92312,16.6521,-4.03421,2.22878,-0.13742,81.37625,-5.844364,0.558882,0.429285,106.52833,29.784276,-2.665215,3172.624737,109.96526,62.89219,-2.74658,414.41911,410.43675,0.563474,5.953102,2.41567,9.47288,0.89133,50,5.73563,-2.71149,-128.53122,-5.71731,4.05973,25.48719,-16.25407,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,70928620-f258-11f0-99a1-27b08f981295,87.80291,107.75344,,7.13085,,,,1.24947,2.31522,0.11788,,,
10,2026-01-15,24:17.3,4,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Gonzalez, Cesar",831498,Right,BOC_EAG,Undefined,1,Top,2,0,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.32548,-0.409254,1.015358,2396.20941,244.675686,2:15,5.83802,-1.29617,5.31787,-36.8175,4.47634,6.60398,2.38575,0.20717,76.13269,-7.144879,2.189041,0.462503,,,,,,,,,,,,-3.04181,2.7237,1.19915,50,5.77429,-2.41656,-120.91124,-2.16964,-4.47698,24.84919,-28.16525,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,8cb680e0-f258-11f0-99a1-27b08f981295,81.49672,,,7.19279,,,,,,,,,
11,2026-01-15,24:37.0,4,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Gonzalez, Cesar",831498,Right,BOC_EAG,Undefined,1,Top,2,0,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.11061,-1.174366,0.648902,2278.508361,250.47611,2:15,5.7663,-1.30851,5.43986,-36.4203,4.99603,10.18682,1.63141,0.14803,75.89802,-7.846573,2.464607,0.463188,87.19433,-48.912298,-88.753485,,,,,2.3829,1.74415,-42.016502,0.017311,-4.96551,3.25638,1.24376,50,5.63734,-1.7838,-120.58047,-3.7372,-7.25122,25.2267,-27.41873,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,9876ed20-f258-11f0-99a1-27b08f981295,81.37615,1.67119,,7.21259,,,,1.73868,1.67119,-0.13808,,,
12,2026-01-15,25:02.7,4,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Gonzalez, Cesar",831498,Right,BOC_EAG,Undefined,1,Top,2,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.40732,-2.494047,2.017832,1423.987525,142.87344,10:45,5.82622,-1.20541,6.00405,-26.95612,15.36717,-10.53516,1.26619,-0.21301,74.24615,-7.545006,0.122273,0.468232,,,,,,,,,,,,6.04796,9.08426,1.05263,50,5.61529,-3.76349,-118.05258,-5.92128,8.47121,24.04007,-19.44997,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,a7c86f60-f258-11f0-99a1-27b08f981295,80.49949,,,7.16117,,,,,,,,,
13,2026-01-15,25:19.0,4,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Gonzalez, Cesar",831498,Right,BOC_EAG,Undefined,1,Top,2,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.86817,-2.347862,2.536533,1881.845589,139.315576,10:45,5.79125,-1.19964,5.77588,-26.77765,15.18446,-11.88721,1.37172,0.17155,75.07851,-7.331919,0.407909,0.46623,,,,,,,,,,,,6.77591,8.80993,0.99738,50,5.58101,-4.795,-118.72163,-5.68559,9.67013,22.74538,-19.60113,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,b18f5590-f258-11f0-99a1-27b08f981295,80.8452,,,6.78966,,,,,,,,,
14,2026-01-15,25:36.5,4,5,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Gonzalez, Cesar",831498,Right,BOC_EAG,Undefined,1,Top,2,2,2,Cutter,Slider,InPlay,Undefined,LineDrive,Single,0,0,,82.52607,-0.362796,0.450435,2356.449948,258.30946,2:30,5.84496,-1.30779,5.24627,-38.65849,3.32142,9.75229,2.28246,-0.0718,75.83161,-7.404267,2.182068,0.466329,90.68624,15.503987,7.558182,2928.975424,108.24574,26.12364,19.56575,272.14007,272.07553,14.795508,3.163768,-4.77988,2.12736,1.25881,50,5.78285,-1.34714,-119.82493,-2.14453,-6.94886,23.1718,-29.08133,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,bbef4770-f258-11f0-99a1-27b08f981295,80.82805,29.37293,,6.69446,,,,0.67416,2.17692,0.04153,,,
15,2026-01-15,26:23.6,5,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Martinez, Sean",836306,Right,BOC_EAG,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.95144,-3.057695,1.025186,2081.561416,146.854546,11:00,6.04122,-1.22656,5.98919,-20.49222,16.81127,-10.1069,1.49658,-1.11858,78.81408,-6.936724,-0.793332,0.439588,,,,,,,,,,,,5.50618,9.98619,1.15122,50,5.78868,-1.83963,-126.01067,-7.32668,8.74502,28.52787,-16.31375,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,d802a060-f258-11f0-99a1-27b08f981295,85.74485,,,8.13736,,,,,,,,,
16,2026-01-15,26:41.1,5,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Martinez, Sean",836306,Right,BOC_EAG,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.00612,-2.97431,0.467281,2038.918685,170.634823,11:45,5.98102,-0.99385,5.61352,-16.68406,20.12178,-3.10669,1.81207,-0.81659,79.90224,-6.146648,-0.087561,0.436646,,,,,,,,,,,,1.70406,11.443,0.95594,50,5.71628,-0.903,-127.50283,-7.10701,2.78336,28.11997,-13.48328,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,e27297d0-f258-11f0-99a1-27b08f981295,86.32256,,,8.10388,,,,,,,,,
17,2026-01-15,27:17.9,5,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Martinez, Sean",836306,Right,BOC_EAG,Undefined,1,Top,2,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.97022,-1.153151,1.58882,1626.454073,106.232649,9:30,5.87834,-1.24575,5.80808,-36.61337,7.03036,-18.44501,1.75431,-1.30494,72.92142,-7.955916,-1.721634,0.47548,,,,,,,,,,,,9.86308,4.49839,1.12604,50,5.7625,-2.51065,-117.32028,-3.52912,13.44462,26.74285,-26.04219,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,f85af600-f258-11f0-99a1-27b08f981295,79.2724,,,8.04881,,,,,,,,,
18,2026-01-15,27:39.3,5,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Martinez, Sean",836306,Right,BOC_EAG,Undefined,1,Top,2,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.12401,-1.380404,1.249273,1644.739414,107.041722,9:30,5.87,-1.36763,5.89989,-37.47884,7.11945,-17.51363,1.46473,-1.66717,71.94921,-8.358166,-1.900462,0.480652,,,,,,,,,,,,9.32453,4.67595,1.27677,50,5.73814,-1.83877,-116.06494,-3.96052,12.38341,27.07061,-25.96414,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,051d41e0-f259-11f0-99a1-27b08f981295,78.41942,,,8.17481,,,,,,,,,
19,2026-01-15,28:14.8,5,5,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Martinez, Sean",836306,Right,BOC_EAG,Undefined,1,Top,2,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.15157,-1.917331,2.503325,1471.311576,104.829845,9:30,5.87298,-1.10008,5.9547,-38.12215,6.38036,-17.50367,0.91568,-0.2357,72.08571,-9.003642,-0.646951,0.480135,,,,,,,,,,,,9.86839,4.45028,0.91083,50,5.6995,-4.40433,-116.04637,-5.05881,13.10837,26.9588,-26.26266,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,1a4906d0-f259-11f0-99a1-27b08f981295,78.50378,,,8.06586,,,,,,,,,
20,2026-01-15,28:32.0,5,6,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Martinez, Sean",836306,Right,BOC_EAG,Undefined,1,Top,2,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,87.85295,-1.679194,2.250399,2120.239822,167.521972,11:30,5.96789,-0.90471,5.82833,-18.21477,19.76481,-3.98961,2.88738,0.85584,76.89416,-5.234641,1.535957,0.443554,,,,,,,,,,,,2.91961,11.17036,0.72306,50,5.82028,-4.80126,-126.80089,-4.19213,4.54284,36.60648,-14.79321,BOC_EAG,BOC_EAG,HarringtonVillage,TeamExclusive,Team,20260115-HarringtonVillage-Private-1,246deb80-f259-11f0-99a1-27b08f981295,84.97826,,,10.95879,,,,,,,,,
