PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-10,15:04:29.68,1,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Locurto, Nick",824009,Right,VIR_TEC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.83659,-2.068664,2.101159,2194.439656,160.723936,11:15,5.87901,-1.05273,5.63949,-13.4782,20.69009,-6.85764,2.82387,0.33681,83.08526,-4.649983,0.877309,0.42071,,,,,,,,,,,,4.0891,11.4339,0.87879,50,5.69488,-4.53964,-131.80984,-5.15603,7.20351,27.66394,-12.03156,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20260410-HarringtonVillage-1,1a55de60-3510-11f1-83da-2fb077e78e38,89.59241,,,7.75133,,,,,,,05724f67-ff7a-4f4e-92ca-7523b830b781,2026-04-10,19:04:29.68,2026-04-10T15:04:29.6846848-04:00,2026-04-10T19:04:29.6846848Z,,v3,227,2293,26585,"Johnson, Gunnar",1000100233,Right,BOC_EAG,f2d86f2f-3dd7-424e-b318-0301e2aa017f,54.86009,-132.82595,13.83197,5.87615,-4.71411,-6.01578,1.05039,-4.80423,3.60175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,152.048112,-17.955213,2087.565572,0.951298,11:00,0.32259,0.456739,-0.829051,18.008791,-35.370464,57.942381,178.49059,19.741278,0.024793,0.337773,-0.940901,19.7476,1.420679,0.337773,0.024793,0.940901,-19.7476,-1.420679,-0.337773,-0.024793,0.940901,-178.49059,-19.741278,-0.024793,-0.337773,-0.940901,,,
2,2026-04-10,15:04:50.89,1,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Locurto, Nick",824009,Right,VIR_TEC,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.7153,-4.410843,2.001012,2212.082985,158.514136,11:15,5.82241,-1.17573,5.77521,-13.13371,20.91666,-7.7302,0.61295,0.04281,82.68946,-6.951436,0.617474,0.419983,,,,,,,,,,,,4.6237,12.50201,1.01531,50,5.44978,-4.2957,-132.58485,-10.5868,8.09681,32.63867,-10.28118,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20260410-HarringtonVillage-1,26f86d40-3510-11f1-83da-2fb077e78e38,89.74743,,,9.02584,,,,,,,05724f67-ff7a-4f4e-92ca-7523b830b781,2026-04-10,19:04:50.89,2026-04-10T15:04:50.8918784-04:00,2026-04-10T19:04:50.8918784Z,,v3,227,2293,26585,"Johnson, Gunnar",1000100233,Right,BOC_EAG,af8a2b7c-feb2-4b46-b61a-078a79307d67,54.7224,-133.74232,16.31934,5.81875,-10.2222,-5.14059,1.17274,-4.58284,4.04841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-04-10,15:05:03.43,1,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Locurto, Nick",824009,Right,VIR_TEC,Undefined,1,Top,0,1,1,Cutter,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.89374,-1.826868,1.310873,2288.119859,204.135255,12:45,5.617,-1.41695,5.5046,-28.36002,9.25182,3.60669,1.54409,0.1098,79.63152,-7.048697,1.953928,0.441401,,,,,,,,,,,,-1.45937,5.54366,1.29996,50,5.43843,-3.03842,-126.07868,-5.0157,-2.34526,26.02017,-23.26529,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20260410-HarringtonVillage-1,2e6d9b40-3510-11f1-83da-2fb077e78e38,85.39266,,,7.26221,,,,,,,05724f67-ff7a-4f4e-92ca-7523b830b781,2026-04-10,19:05:03.43,2026-04-10T15:05:03.4342400-04:00,2026-04-10T19:05:03.4342400Z,,v3,227,2293,26585,"Johnson, Gunnar",1000100233,Right,BOC_EAG,433dfd3d-491e-4b65-9dd7-1cc4f37c7974,54.99384,-127.10514,13.01008,5.61818,-4.09793,-11.63264,1.418,-2.9459,-1.17263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,162.641745,-63.775848,1011.083648,0.441884,11:30,0.901828,0.160365,-0.401234,-30.840878,-48.430826,34.071418,165.091944,7.906119,0.254823,0.13755,-0.957155,8.177846,14.763113,0.13755,0.254823,0.957155,-8.177846,-14.763113,-0.13755,-0.254823,0.957155,-165.091944,-7.906119,-0.254823,-0.13755,-0.957155,,,
4,2026-04-10,15:05:27.66,1,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Locurto, Nick",824009,Right,VIR_TEC,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.52219,-0.291163,1.933808,2178.467182,152.660159,11:00,5.88775,-1.21804,5.78984,-13.29607,20.10635,-9.86158,4.50873,-0.24022,83.62892,-2.851187,0.168632,0.415968,,,,,,,,,,,,5.52142,10.61914,1.06461,50,5.85573,-4.04759,-132.90343,-1.03703,9.90199,27.77115,-13.13002,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20260410-HarringtonVillage-1,3cdd7010-3510-11f1-83da-2fb077e78e38,90.61375,,,7.89327,,,,,,,05724f67-ff7a-4f4e-92ca-7523b830b781,2026-04-10,19:05:27.66,2026-04-10T15:05:27.6637184-04:00,2026-04-10T19:05:27.6637184Z,,v3,227,2293,26585,"Johnson, Gunnar",1000100233,Right,BOC_EAG,649f4727-3826-4467-b0d3-ba176ee030ec,54.70747,-133.88348,13.88557,5.88415,-0.57367,-6.56501,1.21362,-4.39703,4.95099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,151.042333,-13.217445,2120.758125,0.973509,11:00,0.254864,0.472493,-0.843679,47.212747,-19.938176,25.163164,172.314043,-28.206746,0.117861,-0.472655,-0.873331,28.422656,-6.76867,0.472655,-0.117861,0.873331,-28.422656,6.76867,-0.472655,0.117861,0.873331,-172.314043,28.206746,-0.117861,0.472655,-0.873331,,,
5,2026-04-10,15:05:41.83,1,5,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Locurto, Nick",824009,Right,VIR_TEC,Undefined,1,Top,0,2,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,83.1505,-0.262228,1.770309,1539.896437,113.201851,9:45,5.74325,-1.18907,5.58308,-33.96116,6.7154,-12.81481,2.66815,-0.60321,76.54328,-6.507361,-0.517599,0.459033,,,,,,,,,,,,6.94918,3.85016,1.04543,50,5.69854,-3.2099,-120.78231,-1.70815,10.31583,22.44469,-26.45862,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20260410-HarringtonVillage-1,455e41b0-3510-11f1-83da-2fb077e78e38,82.11276,,,6.60722,,,,,,,05724f67-ff7a-4f4e-92ca-7523b830b781,2026-04-10,19:05:41.83,2026-04-10T15:05:41.8300000-04:00,2026-04-10T19:05:41.8300000Z,,v3,227,2293,26585,"Johnson, Gunnar",1000100233,Right,BOC_EAG,a001e236-fb9a-4576-8fef-de2d6d8200dc,54.91605,-121.69242,11.22235,5.74605,-0.63528,-13.22931,1.18406,-3.62819,5.15792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4466,,,1.123315,,,,-2.13914,5.51482,4.54077,73.67468,7.56981,51.11665,-2.05929,75.27393,-7.01557,5.57875,19.04088,-15.39257,4.55118,43.7264,-2.02642,High,High,High,,,High,High,High,125.650768,-10.956503,1511.826827,0.981772,10:15,0.203999,0.798634,-0.566187,-63.371276,18.822383,-44.751718,110.054634,-12.231255,0.918043,-0.211858,-0.335132,32.299546,-66.641623,0.211858,-0.918043,0.335132,-32.299546,66.641623,-0.211858,0.918043,0.335132,-110.054634,12.231255,-0.918043,0.211858,-0.335132,,,
6,2026-04-10,15:06:11.59,2,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Ball, Ethan",831482,Left,VIR_TEC,Undefined,1,Top,1,0,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.66607,-0.787459,0.786419,2334.907396,219.441371,1:15,5.73505,-1.47568,5.43968,-29.33974,8.9063,6.4552,2.55261,-0.20132,79.42068,-6.164644,1.935843,0.445107,,,,,,,,,,,,-3.06532,5.01544,1.40154,50,5.64511,-1.98235,-124.52604,-2.74867,-4.87385,22.05426,-24.1995,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20260410-HarringtonVillage-1,57130850-3510-11f1-83da-2fb077e78e38,84.68171,,,6.24539,,,,,,,05724f67-ff7a-4f4e-92ca-7523b830b781,2026-04-10,19:06:11.59,2026-04-10T15:06:11.5988992-04:00,2026-04-10T19:06:11.5988992Z,,v3,227,2293,26585,"Johnson, Gunnar",1000100233,Right,BOC_EAG,4562a9e6-8463-46a9-bd48-18353918a28b,55.05966,-125.41893,11.02713,5.73656,-1.76892,-12.09975,1.47781,-1.78503,-2.43693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,168.252018,-66.397968,934.853807,0.400382,11:30,0.920436,0.094107,-0.379397,-34.937619,-53.839519,39.517409,171.436066,3.618942,0.148616,0.06312,-0.986878,3.659637,8.546729,0.06312,0.148616,0.986878,-3.659637,-8.546729,-0.06312,-0.148616,0.986878,-171.436066,-3.618942,-0.148616,-0.06312,-0.986878,,,
7,2026-04-10,15:06:27.50,2,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Ball, Ethan",831482,Left,VIR_TEC,Undefined,1,Top,1,0,1,Cutter,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.14612,-0.711099,1.683933,2386.096587,201.600476,12:45,5.7215,-1.3639,5.35192,-29.50954,7.41189,2.55268,2.59511,0.42864,81.15742,-6.093471,2.137461,0.437331,,,,,,,,,,,,-0.91098,4.17236,1.21044,50,5.63619,-3.83298,-126.71167,-2.65335,-1.50688,21.67124,-25.27257,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20260410-HarringtonVillage-1,608d7c30-3510-11f1-83da-2fb077e78e38,86.18734,,,5.9887,,,,,,,05724f67-ff7a-4f4e-92ca-7523b830b781,2026-04-10,19:06:27.50,2026-04-10T15:06:27.5090944-04:00,2026-04-10T19:06:27.5090944Z,,v3,227,2293,26585,"Johnson, Gunnar",1000100233,Right,BOC_EAG,84795ab6-43b2-49d7-b921-317fb2a2d5c3,55.14934,-127.58931,10.83562,5.72292,-1.62986,-12.63629,1.36443,-3.77196,-0.75344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,167.78446,-65.294702,997.271631,0.417951,11:30,0.918914,0.099702,-0.38165,-50.331115,-49.92474,49.765891,171.866395,10.199257,0.139246,0.177072,-0.974298,10.300687,8.004228,0.177072,0.139246,0.974298,-10.300687,-8.004228,-0.177072,-0.139246,0.974298,-171.866395,-10.199257,-0.139246,-0.177072,-0.974298,,,
8,2026-04-10,15:06:54.28,2,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Ball, Ethan",831482,Left,VIR_TEC,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.8935,-1.758561,2.66598,2240.680503,149.478101,11:00,5.92589,-0.83461,5.61836,-12.07127,21.81844,-12.14327,3.27648,0.64328,82.82844,-4.119007,0.500808,0.418992,,,,,,,,,,,,6.94087,11.91501,0.61482,50,5.76817,-5.63429,-133.0787,-4.39286,12.29714,31.77127,-11.06419,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20260410-HarringtonVillage-1,708577a0-3510-11f1-83da-2fb077e78e38,89.9599,,,9.06506,,,,,,,05724f67-ff7a-4f4e-92ca-7523b830b781,2026-04-10,19:06:54.28,2026-04-10T15:06:54.2818304-04:00,2026-04-10T19:06:54.2818304Z,,v3,227,2293,26585,"Johnson, Gunnar",1000100233,Right,BOC_EAG,2dce613d-3fd4-43eb-831e-7a35edab7e5e,54.87716,-134.23802,15.88564,5.9211,-3.98913,-5.5321,0.8286,-6.08302,6.14857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,156.341146,-15.449471,2159.715204,0.963866,11:15,0.295182,0.394783,-0.870066,23.19997,-32.02343,61.130287,176.95179,27.064068,0.047353,0.454987,-0.889238,27.09695,2.714161,0.454987,0.047353,0.889238,-27.09695,-2.714161,-0.454987,-0.047353,0.889238,-176.95179,-27.064068,-0.047353,-0.454987,-0.889238,,,
9,2026-04-10,15:07:09.97,2,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Ball, Ethan",831482,Left,VIR_TEC,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.52634,-1.314468,2.487672,2270.281272,148.131777,11:00,5.87515,-0.89718,5.42764,-12.36942,22.07749,-12.94461,3.61188,0.35548,82.3318,-3.728276,0.187284,0.422422,69.58589,38.430264,-152.823749,3526.822875,,,,,49.21989,,,7.28493,11.86457,0.68579,50,5.75054,-5.15363,-132.53705,-3.37203,12.7768,32.02394,-11.36518,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20260410-HarringtonVillage-1,79f9d100-3510-11f1-83da-2fb077e78e38,89.22936,34.83273,,9.19455,,,,-0.01656,3.59064,-0.38007,05724f67-ff7a-4f4e-92ca-7523b830b781,2026-04-10,19:07:09.97,2026-04-10T15:07:09.9734528-04:00,2026-04-10T19:07:09.9734528Z,,v3,227,2293,26585,"Johnson, Gunnar",1000100233,Right,BOC_EAG,ef986d4b-ccc5-4399-8480-5bfec995d656,55.06839,-133.75609,16.01197,5.87067,-2.9394,-5.68259,0.89122,-5.64,6.3884,52.259677,-0.01656,-71.12361,3.50648,-0.12267,-0.03115,0.02227,-0.00658,0.00291,-0.00076,3.59064,63.43605,-25.1279,2.77269,-0.60094,0.11832,-0.0226,0.00331,0,-0.38007,-36.51531,9.43236,-1.917,0.4186,-0.08218,0.01773,-0.00287,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,151.816523,-12.598274,2215.620468,0.975923,11:00,0.244625,0.465807,-0.850401,16.943601,-30.936428,76.577673,179.996411,-24.388841,5.7E-05,-0.412927,-0.910764,24.388841,-0.003268,0.412927,-5.7E-05,0.910764,-24.388841,0.003268,-0.412927,5.7E-05,0.910764,-179.996411,24.388841,-5.7E-05,0.412927,-0.910764,74.59526,7.76944,-15.55615
10,2026-04-10,15:07:29.73,2,5,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Ball, Ethan",831482,Left,VIR_TEC,Undefined,1,Top,1,1,2,Cutter,Cutter,InPlay,Undefined,FlyBall,HomeRun,0,1,,87.7699,-1.489973,1.28795,2276.086982,210.215057,1:00,5.70091,-1.35593,5.46644,-27.00285,9.45733,4.91134,2.05554,0.25895,81.32309,-6.442339,2.16275,0.434591,106.47986,23.239936,10.642693,1969.834986,108.35472,47.19853,18.9521,438.02912,425.984,7.645313,5.562357,-2.18425,5.44855,1.23907,50,5.55124,-3.07486,-127.54396,-4.28143,-3.63768,23.52151,-23.09991,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20260410-HarringtonVillage-1,85a3cf10-3510-11f1-83da-2fb077e78e38,86.73085,83.88828,,6.44681,,,,1.75072,2.14212,-0.23461,05724f67-ff7a-4f4e-92ca-7523b830b781,2026-04-10,19:07:29.73,2026-04-10T15:07:29.7323520-04:00,2026-04-10T19:07:29.7323520Z,FlyBall,v3,227,2293,26585,"Johnson, Gunnar",1000100233,Right,BOC_EAG,5e8e0eb1-17d6-44db-845f-b78ef5b2453a,55.03408,-128.46899,11.76076,5.70175,-3.37299,-11.54995,1.35719,-2.9318,-1.81884,175.523722,1.75143,141.0127,-26.64675,5.95151,-1.17717,0.20423,-0.02866,0.00268,-0.00011,2.14424,61.59265,-11.59597,-0.14154,0.10762,-0.04269,0.01187,-0.00158,8E-05,-0.23447,26.49959,-6.27101,1.34928,-0.28538,0.05603,-0.00892,0.0009,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,165.203624,-63.039701,1031.916379,0.453373,11:30,0.897637,0.138921,-0.418268,-32.854312,-57.745363,33.030411,174.832062,10.833569,0.08847,0.187957,-0.978185,10.876735,5.075588,0.187957,0.08847,0.978185,-10.876735,-5.075588,-0.187957,-0.08847,0.978185,-174.832062,-10.833569,-0.08847,-0.187957,-0.978185,,,
