PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-21,15:04:51.70,1,1,"Burnham, Jacob",831497,Left,BOC_EAG,"Pepe, Nic",1000115861,Left,MAI_BLA,Undefined,1,Top,0,0,0,Fastball,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,86.2997,-1.041125,1.583566,1814.708589,151.591095,11:00,5.90209,-1.74494,6.18047,-19.93363,17.52576,-8.7739,3.27906,-1.0134,78.13341,-4.854228,0.000607,0.440506,,,,,,,,,,,,5.0037,9.75993,1.62953,50,5.81326,-3.10902,-125.2398,-2.81745,7.86341,27.78368,-16.83616,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260421-HarringtonVillage-1,f9f3d430-3db4-11f1-be13-814f369a648e,85.56622,,,8.16629,,,,,,,653c48cf-856e-4521-b1b6-52cd1878b7ca,2026-04-21,19:04:51.70,2026-04-21T15:04:51.7077504-04:00,2026-04-21T19:04:51.7077504Z,,v3,227,471344,26593,"Roossien, Jace",831501,Right,BOC_EAG,0ea2a09f-8662-41fb-9273-7ce300062b7f,54.31526,-126.19348,13.89184,5.90006,-2.23955,-8.41808,1.74089,-3.37894,3.93171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,141.39099,-20.00202,1705.246391,0.939681,10:45,0.351508,0.592481,-0.72485,25.416041,-34.385845,39.896339,172.542881,-11.972824,0.126961,-0.207448,-0.969972,12.071967,-7.294006,0.207448,-0.126961,0.969972,-12.071967,7.294006,-0.207448,0.126961,0.969972,-172.542881,11.972824,-0.126961,0.207448,-0.969972,,,
2,2026-04-21,15:05:29.92,2,1,"Burnham, Jacob",831497,Left,BOC_EAG,"Murphy, Quinn",1000527191,Left,MAI_BLA,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.72376,-0.844658,2.561438,1829.824738,150.003463,11:00,5.89801,-2.0037,6.18474,-25.5234,11.56071,-6.09394,2.99029,-0.1448,79.57522,-5.603405,1.462737,0.438294,70.32495,43.407616,-120.910464,5329.426351,,,,,37.59397,,,3.78481,6.51079,1.81349,50,5.82106,-5.34808,-124.66741,-2.61535,6.04444,21.59394,-21.77611,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260421-HarringtonVillage-1,10ba8470-3db5-11f1-be13-814f369a648e,85.99812,34.49041,,6.14854,,,,0.74326,3.13074,0.0312,653c48cf-856e-4521-b1b6-52cd1878b7ca,2026-04-21,19:05:29.92,2026-04-21T15:05:29.9249664-04:00,2026-04-21T19:05:29.9249664Z,,v3,227,471344,26593,"Roossien, Jace",831501,Right,BOC_EAG,45252265-685f-4abb-906c-fa688d778696,54.31588,-125.41274,10.79697,5.89836,-1.86373,-10.88805,2.00168,-5.55672,3.02222,49.350556,0.74326,-38.49228,-4.17987,1.78887,-0.48866,0.05395,0.12668,-0.18769,0.09815,3.13074,70.87829,-23.16988,2.21498,-0.40838,0.05797,0.00224,-0.0133,0.00726,0.0312,-64.28926,10.23007,-2.03369,0.38749,-0.0301,-0.06363,0.09398,-0.04875,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,143.116597,-31.645987,1557.740948,0.851306,10:45,0.546995,0.518623,-0.657135,29.157496,-46.237479,31.860369,177.788155,-20.412342,0.036171,-0.348774,-0.936509,20.426305,-2.072893,0.348774,-0.036171,0.936509,-20.426305,2.072893,-0.348774,0.036171,0.936509,-177.788155,20.412342,-0.036171,0.348774,-0.936509,75.46181,10.18187,-6.10233
3,2026-04-21,15:05:52.33,2,2,"Burnham, Jacob",831497,Left,BOC_EAG,"Murphy, Quinn",1000527191,Left,MAI_BLA,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,75.73282,1.19339,1.344321,2424.864525,299.43602,4:00,5.73595,-2.19552,5.72407,-50.05412,-1.68618,5.28032,2.67678,-0.50316,70.54667,-7.942024,2.289664,0.500553,98.99789,7.814498,30.630614,2479.339703,,,,127.55312,124.61872,34.882888,1.015437,-2.38988,-0.81823,2.07988,50,5.80407,-2.77113,-110.16333,0.73788,-2.97437,17.23197,-33.19238,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260421-HarringtonVillage-1,1e20ff90-3db5-11f1-be13-814f369a648e,75.30157,7.08988,,5.18614,,,,2.32671,3.03901,0.48649,653c48cf-856e-4521-b1b6-52cd1878b7ca,2026-04-21,19:05:52.33,2026-04-21T15:05:52.3322880-04:00,2026-04-21T19:05:52.3322880Z,LineDrive,v3,227,471344,26593,"Roossien, Jace",831501,Right,BOC_EAG,5f2c511d-d305-4b70-af79-5dea06357133,54.77822,-110.90823,8.61598,5.74116,2.17272,-16.59619,2.19689,-2.64256,-1.48719,,2.32671,123.77646,-26.76085,4.79812,-0.19548,-2.1962,3.17952,-2.07238,0.52253,3.03901,19.74145,-25.46548,3.64283,-0.29668,-1.33898,2.03494,-1.34645,0.34274,0.48649,73.29166,-1.08039,-0.84081,-0.90503,3.16297,-4.37255,2.8795,-0.73598,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,322.571134,-70.971859,790.584649,0.326033,4:45,0.934693,-0.217801,0.280911,55.474931,-40.866716,-84.588303,150.836286,31.77174,0.414285,0.526537,-0.742379,35.346375,24.4743,0.526537,0.414285,0.742379,-35.346375,-24.4743,-0.526537,-0.414285,0.742379,-150.836286,-31.77174,-0.414285,-0.526537,-0.742379,70.41429,21.23283,18.55877
4,2026-04-21,15:06:37.69,3,1,"Burnham, Jacob",831497,Left,BOC_EAG,"Carpenter, Troy",1000239627,Right,MAI_BLA,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,1,,86.41391,-1.518818,3.34171,1799.938459,134.408451,10:30,5.8963,-1.91879,6.18836,-22.00218,14.9443,-14.08591,2.65774,-0.0037,79.285,-5.66789,0.803829,0.43748,103.20668,-7.26027,-6.545764,,,,,18.11447,17.56691,-6.155772,0.114644,8.23993,8.50615,1.67384,50,5.77039,-6.78293,-125.43619,-3.97153,13.16888,24.63798,-18.57969,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260421-HarringtonVillage-1,391f3f00-3db5-11f1-be13-814f369a648e,86.15817,2.62778,,7.1289,,,,1.35566,2.62778,0.00772,653c48cf-856e-4521-b1b6-52cd1878b7ca,2026-04-21,19:06:37.69,2026-04-21T15:06:37.6941056-04:00,2026-04-21T19:06:37.6941056Z,GroundBall,v3,227,471344,26593,"Roossien, Jace",831501,Right,BOC_EAG,a44b2b22-cef7-4ea6-8a8f-8ce8167b5a18,54.31157,-126.28022,12.31899,5.89554,-3.33504,-9.28985,1.91393,-7.23406,6.58444,7.848363,1.35606,149.13126,-33.73992,,,,,,,2.62845,-19.2072,-32.49785,,,,,,,0.00776,-17.12122,0.95929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,140.577269,-26.390519,1612.358454,0.895785,10:45,0.468859,0.580438,-0.66578,32.675803,-47.567542,34.343232,179.429339,20.27379,0.009343,0.346507,-0.938001,20.274714,0.535306,0.346507,0.009343,0.938001,-20.274714,-0.535306,-0.346507,-0.009343,0.938001,-179.429339,-20.27379,-0.009343,-0.346507,-0.938001,,,
5,2026-04-21,15:07:40.57,4,1,"Burnham, Jacob",831497,Left,BOC_EAG,"Stevens, Julian",1000253292,Right,MAI_BLA,Undefined,1,Top,0,0,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Sacrifice,1,1,,80.05412,-0.280526,3.243568,1332.811203,115.408386,9:45,5.56707,-2.32101,6.32204,-35.17955,7.83205,-13.57509,2.37667,-0.46184,73.27253,-6.854086,0.790015,0.472024,102.50011,31.616218,-18.491382,3404.398846,103.36743,67.58998,-37.61865,357.05684,324.90031,-22.113704,5.788437,8.00973,4.56402,2.09015,50,5.52983,-6.10534,-116.22179,-1.57512,10.92848,22.28393,-25.94692,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260421-HarringtonVillage-1,5ea0d6d0-3db5-11f1-be13-814f369a648e,79.85278,104.00432,,6.78159,,,,1.66164,2.45474,0.44976,653c48cf-856e-4521-b1b6-52cd1878b7ca,2026-04-21,19:07:40.57,2026-04-21T15:07:40.5755904-04:00,2026-04-21T19:07:40.5755904Z,FlyBall,v3,227,471344,26593,"Roossien, Jace",831501,Right,BOC_EAG,dc86987c-aa7f-47db-8b26-6b95a2928e47,54.17718,-117.01996,11.14197,5.5696,-0.64574,-12.97346,2.31584,-6.49678,5.46424,163.933132,1.67087,121.23554,-29.12832,6.32,-0.711,-0.06774,0.03637,-0.00463,0.0002,2.45091,78.86509,-16.64597,0.57316,-0.02969,-0.01603,0.01143,-0.00212,0.00012,0.44989,-40.60691,4.47738,-0.28743,0.01503,-0.0105,0.00303,-0.00034,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,118.280269,-0.791303,1332.684095,0.999905,10:00,0.036288,0.880614,-0.472443,-55.74895,39.730016,86.514316,129.110382,-78.427327,0.15566,-0.979671,-0.126549,82.639604,-8.955093,0.979671,-0.15566,0.126549,-82.639604,8.955093,-0.979671,0.15566,0.126549,-129.110382,78.427327,-0.15566,0.979671,-0.126549,,,
6,2026-04-21,15:08:20.63,5,1,"Burnham, Jacob",831497,Left,BOC_EAG,"St. Denis, Hunter",1000341731,Right,MAI_BLA,Undefined,1,Top,1,0,0,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.67946,0.51223,1.373221,2278.580412,302.671207,4:00,5.70007,-2.20153,5.71451,-48.76345,-1.15146,3.9952,2.11378,-0.58909,70.879,-8.403463,2.088758,0.496626,64.67389,25.614257,129.310277,5361.295251,-78.35742,14.23589,77.20176,138.87324,46.04838,136.930065,1.996703,-1.67843,-0.34543,2.08409,50,5.71236,-2.81619,-111.44544,-0.54279,-2.11766,19.42611,-32.6099,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260421-HarringtonVillage-1,76829400-3db5-11f1-be13-814f369a648e,75.89699,20.52551,,5.80046,,,,0.71534,2.24364,0.19526,653c48cf-856e-4521-b1b6-52cd1878b7ca,2026-04-21,19:08:20.63,2026-04-21T15:08:20.6361600-04:00,2026-04-21T19:08:20.6361600Z,LineDrive,v3,227,471344,26593,"Roossien, Jace",831501,Right,BOC_EAG,bbb245c4-832c-420f-b877-72f5b6678a79,54.78639,-112.27666,9.71306,5.70573,0.85255,-16.30495,2.20265,-2.72557,-1.05883,,0.71531,-54.18427,-0.11494,1.37014,-0.27107,-0.12252,0.11297,-0.03528,0.00427,2.24364,41.00707,-25.23493,2.89209,-0.52623,0.05467,0.00712,-0.00388,0.00052,0.19524,66.18116,-13.42092,2.81436,-0.35548,-0.13803,0.10593,-0.032,0.00383,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,333.003147,-74.828561,596.322942,0.261708,5:00,0.958181,-0.127424,0.256226,61.727089,-25.827349,-77.146705,151.284692,30.172406,0.415364,0.502604,-0.758197,33.540135,24.542238,0.502604,0.415364,0.758197,-33.540135,-24.542238,-0.502604,-0.415364,0.758197,-151.284692,-30.172406,-0.415364,-0.502604,-0.758197,73.86929,1.79085,8.47671
7,2026-04-21,15:08:41.50,5,2,"Burnham, Jacob",831497,Left,BOC_EAG,"St. Denis, Hunter",1000341731,Right,MAI_BLA,Undefined,1,Top,1,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.38082,1.045533,3.171954,1294.537438,118.963532,10:00,5.52699,-2.33793,6.44971,-34.07195,9.39067,-14.49505,3.64983,-0.62867,72.57742,-5.357863,0.547747,0.474492,73.10963,48.483054,127.118177,3915.220338,,,,,39.3617,,,8.48449,5.02233,2.11932,50,5.58586,-5.8871,-115.27238,1.1761,11.40799,21.56802,-25.42114,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260421-HarringtonVillage-1,82efe210-3db5-11f1-be13-814f369a648e,79.43738,39.01761,,6.80341,,,,0.71711,3.70088,0.65001,653c48cf-856e-4521-b1b6-52cd1878b7ca,2026-04-21,19:08:41.50,2026-04-21T15:08:41.5019520-04:00,2026-04-21T19:08:41.5019520Z,,v3,227,471344,26593,"Roossien, Jace",831501,Right,BOC_EAG,25394aa1-9529-4d2b-b213-f00bf797a19d,54.04958,-116.0276,10.78401,5.52909,2.06624,-12.71057,2.33245,-6.28657,5.704,,0.71711,-42.89081,-6.27084,3.39771,-1.05129,0.29186,-0.0733,0.01702,-0.00234,3.70088,80.28746,-33.73726,5.0696,-1.06353,0.19659,-0.03567,0.00586,-0.00037,0.65001,56.67443,-6.66034,0.1193,0.17905,-0.09281,0.02855,-0.00872,0.00172,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,118.105394,-5.254654,1289.097133,0.995797,10:00,0.133388,0.876558,-0.462443,-48.728765,41.911993,78.420576,141.588293,-75.415419,0.156451,-0.967777,-0.197309,78.476546,-9.000952,0.967777,-0.156451,0.197309,-78.476546,9.000952,-0.967777,0.156451,0.197309,-141.588293,75.415419,-0.156451,0.967777,-0.197309,71.59299,15.80746,3.24368
8,2026-04-21,15:09:04.62,5,3,"Burnham, Jacob",831497,Left,BOC_EAG,"St. Denis, Hunter",1000341731,Right,MAI_BLA,Undefined,1,Top,1,0,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.22238,-0.862362,2.074193,2130.670189,144.911039,10:45,5.91057,-1.9732,6.07681,-17.36367,19.95493,-13.18316,3.66512,-1.1518,78.72903,-4.18835,-0.298492,0.439677,94.87134,16.694515,36.889941,3101.434574,81.2159,26.26359,74.18808,268.83959,261.26148,49.748677,2.780466,7.38993,10.89528,1.81974,50,5.83458,-4.01329,-125.23353,-2.34865,11.72961,25.42279,-14.88061,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260421-HarringtonVillage-1,90b3e680-3db5-11f1-be13-814f369a648e,85.72749,27.93772,,7.49336,,,,0.47263,3.70756,1.09176,653c48cf-856e-4521-b1b6-52cd1878b7ca,2026-04-21,19:09:04.62,2026-04-21T15:09:04.6244864-04:00,2026-04-21T19:09:04.6244864Z,LineDrive,v3,227,471344,26593,"Roossien, Jace",831501,Right,BOC_EAG,8e6cb7b8-3776-44bf-99e7-b344d74fea4d,54.42178,-126.12797,12.71139,5.908,-1.82511,-7.44031,1.9682,-4.42597,5.8648,,0.47269,106.59279,-25.34838,5.61281,-1.13685,0.1305,0.0097,-0.00731,0.00094,3.70752,39.9737,-18.17667,1.58886,-0.25267,0.08517,-0.03176,0.00791,-0.00085,1.09177,80.00436,0.26766,-2.2832,0.93218,-0.28456,0.06842,-0.01124,0.00086,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,139.651406,-17.882977,2027.728305,0.951686,10:45,0.323822,0.620708,-0.714046,42.535498,-36.928881,15.891258,177.444587,11.93153,0.043622,0.206743,-0.977422,11.943066,2.500168,0.206743,0.043622,0.977422,-11.943066,-2.500168,-0.206743,-0.043622,0.977422,-177.444587,-11.93153,-0.043622,-0.206743,-0.977422,66.98013,6.31725,15.56201
9,2026-04-21,15:09:31.75,5,4,"Burnham, Jacob",831497,Left,BOC_EAG,"St. Denis, Hunter",1000341731,Right,MAI_BLA,Undefined,1,Top,1,0,2,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,75.73579,3.29255,0.852586,2470.154962,299.063964,4:00,5.64943,-2.13633,5.43285,-54.2844,-4.88953,11.38524,4.21291,-0.38906,69.72209,-6.593057,2.876848,0.505839,86.80064,35.479709,5.553103,3029.774836,108.43125,73.27905,18.51094,273.72267,271.65987,17.639615,4.958739,-5.5404,-2.96445,2.0525,50,5.90313,-2.05969,-109.91352,4.5439,-6.80935,18.62986,-35.81746,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260421-HarringtonVillage-1,a0ecbb80-3db5-11f1-be13-814f369a648e,74.5147,87.21811,,6.01369,,,,1.25119,4.19305,0.38775,653c48cf-856e-4521-b1b6-52cd1878b7ca,2026-04-21,19:09:31.75,2026-04-21T15:09:31.7526528-04:00,2026-04-21T19:09:31.7526528Z,FlyBall,v3,227,471344,26593,"Roossien, Jace",831501,Right,BOC_EAG,259f8bc7-a4a2-44d2-89b1-083aca456b63,55.0693,-110.76941,9.31493,5.65657,6.18943,-17.90873,2.13994,-1.74686,-3.40468,200.298707,1.25087,103.19235,-24.6684,6.31305,-1.51529,0.35717,-0.06723,0.00768,-0.00037,4.19571,73.83112,-18.00296,0.43962,0.40714,-0.22503,0.05483,-0.00647,0.0003,0.38788,10.02854,3.30542,-0.97198,0.27805,-0.07044,0.01299,-0.00141,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,313.019952,-68.841107,891.616217,0.360956,4:30,0.912121,-0.317027,0.259864,38.980181,-49.089737,-71.474305,140.027746,24.880418,0.582793,0.420726,-0.695229,31.180726,35.647194,0.420726,0.582793,0.695229,-31.180726,-35.647194,-0.420726,-0.582793,0.695229,-140.027746,-24.880418,-0.582793,-0.420726,-0.695229,,,
10,2026-04-21,15:10:04.74,6,1,"Burnham, Jacob",831497,Left,BOC_EAG,"Rasmussen, Brody",1000250740,Right,MAI_BLA,Undefined,1,Top,2,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.24862,0.136145,2.508344,1432.989419,104.255714,9:30,5.52574,-2.32244,6.29562,-37.04671,5.73075,-17.1941,2.56408,-1.44254,73.48288,-6.773699,-0.601356,0.470738,68.89293,29.170406,144.995786,3435.13175,,,,,45.9015,,,9.66367,3.34776,2.14598,50,5.51799,-4.49121,-116.59305,-0.80473,13.27142,22.39654,-27.57645,BOC_EAG,MAI_BLA,HarringtonVillage,D1,ACC,20260421-HarringtonVillage-1,b490a7f0-3db5-11f1-be13-814f369a648e,80.071,21.37205,,6.76573,,,,0.02539,2.46221,1.23059,653c48cf-856e-4521-b1b6-52cd1878b7ca,2026-04-21,19:10:04.74,2026-04-21T15:10:04.7440384-04:00,2026-04-21T19:10:04.7440384Z,,v3,227,471344,26593,"Roossien, Jace",831501,Right,BOC_EAG,fafa3e4c-35fd-4a6f-a265-51c2991d1964,54.20411,-117.39784,11.19827,5.5291,0.1862,-13.78822,2.31593,-4.9681,6.63571,,0.02539,-72.26837,3.20435,-0.05614,-0.0876,0.03774,-0.01316,0.00562,-0.00172,2.46221,49.24914,-28.07824,3.71048,-0.83421,0.18022,-0.04202,0.01012,-0.00184,1.23059,50.61078,-10.88363,2.56459,-0.58376,0.13179,-0.03386,0.00966,-0.00233,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,115.903755,-3.160945,1430.809244,0.998479,9:45,0.07631,0.898027,-0.433272,-53.699008,38.95153,87.212481,118.289828,-76.61091,0.203905,-0.97282,-0.109745,83.56361,-11.765416,0.97282,-0.203905,0.109745,-83.56361,11.765416,-0.97282,0.203905,0.109745,-118.289828,76.61091,-0.203905,0.97282,-0.109745,,,
