PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-04-07,15:33:20.93,1,1,"D'Ancona, Luke",839403,Right,BOC_EAG,"Tirado, Anthony",832076,Left,UMA_AMH,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.81475,-2.890464,-1.210715,2102.167437,207.522441,1:00,5.79727,1.48322,5.87845,-16.97355,18.89556,9.18067,1.69552,1.1237,80.44035,-6.131163,0.43692,0.431054,,,,,,,,,,,,-5.04827,10.92044,-1.39063,50,5.55383,2.32534,-128.69885,-6.97736,-8.3747,29.42919,-14.05789,BOC_EAG,UMA_AMH,HarringtonVillage,D1,ACC,20260407-HarringtonVillage-1,a3008e90-32b8-11f1-8bf7-392ba3b9b604,87.44253,,,8.3744,,,,,,,f6919a84-6d4d-4c73-9e22-e48d102a19af,2026-04-07,19:33:20.93,2026-04-07T15:33:20.9331712-04:00,2026-04-07T19:33:20.9331712Z,,v3,227,umass,26583,"Gonzalez, Cesar",831498,Right,BOC_EAG,e31fa268-3226-45bb-975a-99c1c72296d5,54.6173,-129.75038,14.71459,5.79416,-6.47506,-7.02894,-1.47906,2.62458,-4.18735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,219.290045,21.178778,1960.182175,0.932458,1:15,-0.346219,-0.607942,-0.71452,-30.609795,-9.874098,-70.218663,160.953568,-3.374084,0.325769,-0.058855,-0.943616,3.569007,-19.012147,0.058855,-0.325769,0.943616,-3.569007,19.012147,-0.058855,0.325769,0.943616,-160.953568,3.374084,-0.325769,0.058855,-0.943616,,,
2,2026-04-07,15:33:33.94,1,2,"D'Ancona, Luke",839403,Right,BOC_EAG,"Tirado, Anthony",832076,Left,UMA_AMH,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.59323,-1.374079,-1.845566,2196.498585,212.709382,1:00,5.79193,1.62974,6.05531,-15.6291,19.65281,11.75985,3.21672,0.90084,80.25853,-4.414695,0.270603,0.427511,93.13079,28.542216,-5.905742,3112.396651,108.70484,56.26676,-16.82779,347.55831,342.66437,-13.860216,4.747707,-6.70772,10.98221,-1.49266,50,5.67695,3.69283,-129.86629,-3.52354,-11.20898,32.64927,-13.82217,BOC_EAG,UMA_AMH,HarringtonVillage,D1,ACC,20260407-HarringtonVillage-1,aabb7820-32b8-11f1-8bf7-392ba3b9b604,88.16715,74.92651,,9.3347,,,,1.9292,3.28684,-0.89817,f6919a84-6d4d-4c73-9e22-e48d102a19af,2026-04-07,19:33:33.94,2026-04-07T15:33:33.9407872-04:00,2026-04-07T19:33:33.9407872Z,FlyBall,v3,227,umass,26583,"Gonzalez, Cesar",831498,Right,BOC_EAG,fdeaf99a-b49e-4aa7-808d-66dfcc92fa23,54.44117,-130.97807,16.32464,5.78891,-3.05286,-6.91108,-1.62491,4.07452,-5.60449,159.096226,1.93041,119.32906,-24.83269,6.34257,-1.29563,0.22544,-0.03441,0.00394,-0.00022,3.28777,65.23944,-14.83796,-0.79314,0.75816,-0.30439,0.07392,-0.00954,0.0005,-0.898,-12.35017,-3.01497,1.03848,-0.28676,0.06183,-0.00981,0.00099,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,220.226654,23.678846,2011.577422,0.915811,1:15,-0.409629,-0.600903,-0.686381,-24.601744,-17.908519,-84.768217,161.095286,-4.435331,0.323025,-0.077334,-0.943226,4.687123,-18.845961,0.077334,-0.323025,0.943226,-4.687123,18.845961,-0.077334,0.323025,0.943226,-161.095286,4.435331,-0.323025,0.077334,-0.943226,,,
3,2026-04-07,15:34:09.15,2,1,"D'Ancona, Luke",839403,Right,BOC_EAG,"OBrien, Gavin",10271716,Right,UMA_AMH,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.54867,-1.900648,-2.506387,2267.298098,207.704892,1:00,5.82698,1.54711,6.17767,-18.41076,16.64654,8.06264,2.5352,-0.09711,80.63394,-5.431642,-1.052996,0.426148,,,,,,,,,,,,-4.93059,9.57119,-1.3613,50,5.67375,5.33341,-129.73684,-4.81666,-8.26978,31.17513,-16.12089,BOC_EAG,UMA_AMH,HarringtonVillage,D1,ACC,20260407-HarringtonVillage-1,bfc33a50-32b8-11f1-8bf7-392ba3b9b604,88.44912,,,8.91473,,,,,,,f6919a84-6d4d-4c73-9e22-e48d102a19af,2026-04-07,19:34:09.15,2026-04-07T15:34:09.1525120-04:00,2026-04-07T19:34:09.1525120Z,,v3,227,umass,26583,"Gonzalez, Cesar",831498,Right,BOC_EAG,4af74a75-c34f-4d95-b346-fdf61adb2176,54.31602,-130.76985,15.58757,5.8245,-4.28249,-8.06045,-1.54256,5.60743,-4.13489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,218.901703,27.87286,2004.262452,0.883987,1:15,-0.478497,-0.570332,-0.667654,31.076529,30.414805,88.531556,170.518522,2.98362,0.164505,0.05205,-0.985002,3.024868,9.468507,0.05205,0.164505,0.985002,-3.024868,-9.468507,-0.05205,-0.164505,0.985002,-170.518522,-2.98362,-0.164505,-0.05205,-0.985002,,,
4,2026-04-07,15:34:23.60,2,2,"D'Ancona, Luke",839403,Right,BOC_EAG,"OBrien, Gavin",10271716,Right,UMA_AMH,Undefined,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.26759,-0.912431,-1.889805,2414.541496,86.421214,9:00,5.89515,1.5501,5.11762,-41.76042,0.76469,-8.81536,1.55508,-0.96534,75.76468,-8.463539,-3.450466,0.469347,,,,,,,,,,,,3.85496,1.05248,-1.3652,50,5.77687,4.31386,-119.33871,-3.44513,5.55813,23.01065,-30.65658,BOC_EAG,UMA_AMH,HarringtonVillage,D1,ACC,20260407-HarringtonVillage-1,c860e2c0-32b8-11f1-8bf7-392ba3b9b604,80.30825,,,6.50292,,,,,,,f6919a84-6d4d-4c73-9e22-e48d102a19af,2026-04-07,19:34:23.60,2026-04-07T15:34:23.6099584-04:00,2026-04-07T19:34:23.6099584Z,,v3,227,umass,26583,"Gonzalez, Cesar",831498,Right,BOC_EAG,96a24f7c-194d-49b1-ae9a-355dde66cc70,55.38112,-120.37181,11.50533,5.90065,-2.06875,-15.32829,-1.55328,4.06432,2.77907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,106.217953,85.117581,205.504514,0.085111,9:30,-0.997788,0.065847,0.009138,59.90979,29.978771,58.837312,155.388278,-14.661204,0.402906,-0.253103,-0.879548,16.053948,-23.759996,0.253103,-0.402906,0.879548,-16.053948,23.759996,-0.253103,0.402906,0.879548,-155.388278,14.661204,-0.402906,0.253103,-0.879548,,,
5,2026-04-07,15:34:37.81,2,3,"D'Ancona, Luke",839403,Right,BOC_EAG,"OBrien, Gavin",10271716,Right,UMA_AMH,Undefined,1,Top,1,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.39385,-0.212139,-1.865521,2318.757875,61.877163,8:00,5.69973,1.76277,4.78375,-58.88716,-9.74654,-21.98163,0.5913,-1.83783,70.2644,-10.795072,-5.737521,0.504535,,,,,,,,,,,,10.00245,-4.05898,-1.55635,50,5.62776,4.64208,-113.26853,-2.63733,12.50036,28.01057,-37.24668,BOC_EAG,UMA_AMH,HarringtonVillage,D1,ACC,20260407-HarringtonVillage-1,d0dc3620-32b8-11f1-8bf7-392ba3b9b604,74.70721,,,8.12945,,,,,,,f6919a84-6d4d-4c73-9e22-e48d102a19af,2026-04-07,19:34:37.81,2026-04-07T15:34:37.8162688-04:00,2026-04-07T19:34:37.8162688Z,,v3,227,umass,26583,"Gonzalez, Cesar",831498,Right,BOC_EAG,98589018-4b60-4589-8f94-b4bdec16bf89,55.71318,-114.67266,14.00529,5.71317,-0.77021,-18.62334,-1.77335,4.01546,6.25018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,44.321129,61.115952,1120.049609,0.483039,7:30,-0.865128,0.334245,0.373944,4.436793,7.830036,31.2476,107.334908,-37.714105,0.755142,-0.611722,-0.235705,68.927598,-49.037778,0.611722,-0.755142,0.235705,-68.927598,49.037778,-0.611722,0.755142,0.235705,-107.334908,37.714105,-0.755142,0.611722,-0.235705,,,
6,2026-04-07,15:34:55.94,2,4,"D'Ancona, Luke",839403,Right,BOC_EAG,"OBrien, Gavin",10271716,Right,UMA_AMH,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.77263,1.36275,0.283432,2352.957559,78.722592,8:30,5.86282,1.57814,5.13346,-43.11872,0.88461,-4.07311,3.55318,1.50563,73.17743,-6.544512,-0.437823,0.477435,,,,,,,,,,,,2.08866,0.56193,-1.60156,50,5.9582,-0.40258,-118.29744,1.2231,2.89096,27.45674,-31.39626,BOC_EAG,UMA_AMH,HarringtonVillage,D1,ACC,20260407-HarringtonVillage-1,dba4add0-32b8-11f1-8bf7-392ba3b9b604,78.94784,,,8.5952,,,,,,,f6919a84-6d4d-4c73-9e22-e48d102a19af,2026-04-07,19:34:55.94,2026-04-07T15:34:55.9459840-04:00,2026-04-07T19:34:55.9459840Z,,v3,227,umass,26583,"Gonzalez, Cesar",831498,Right,BOC_EAG,cb592169-711b-4103-b243-f09fc0e241cd,55.35882,-119.53475,13.72837,5.8712,2.63794,-15.69813,-1.58048,-0.53285,1.44548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,96.088014,85.076077,201.961239,0.085833,9:15,-0.993941,0.109019,-0.01402,58.661378,37.328713,47.26979,152.185896,-5.797994,0.464217,-0.101021,-0.879941,6.549156,-27.659582,0.101021,-0.464217,0.879941,-6.549156,27.659582,-0.101021,0.464217,0.879941,-152.185896,5.797994,-0.464217,0.101021,-0.879941,,,
7,2026-04-07,15:35:13.17,2,5,"D'Ancona, Luke",839403,Right,BOC_EAG,"OBrien, Gavin",10271716,Right,UMA_AMH,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.44259,-2.001762,-2.359687,2245.009646,211.611847,1:00,5.85841,1.31308,5.98262,-16.68194,18.55548,10.50052,2.6105,-0.0003,79.99905,-5.249591,-0.47345,0.427242,,,,,,,,,,,,-6.23012,10.65918,-1.13219,50,5.69116,4.91982,-130.76218,-5.01596,-10.41859,36.33844,-14.34874,BOC_EAG,UMA_AMH,HarringtonVillage,D1,ACC,20260407-HarringtonVillage-1,e5e7a1d0-32b8-11f1-8bf7-392ba3b9b604,88.22278,,,10.44354,,,,,,,f6919a84-6d4d-4c73-9e22-e48d102a19af,2026-04-07,19:35:13.17,2026-04-07T15:35:13.1765248-04:00,2026-04-07T19:35:13.1765248Z,,v3,227,umass,26583,"Gonzalez, Cesar",831498,Right,BOC_EAG,ef2fb657-bf72-4e3a-bdbe-a0bc86fde0b5,54.50912,-132.00931,18.16922,5.85486,-4.52352,-7.17437,-1.30717,5.27738,-5.2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,218.025867,22.924696,2067.693392,0.921018,1:15,-0.399023,-0.580622,-0.709689,-35.460424,-18.42025,-84.885905,162.975715,7.156723,0.290496,0.124584,-0.948731,7.481062,16.887654,0.124584,0.290496,0.948731,-7.481062,-16.887654,-0.124584,-0.290496,0.948731,-162.975715,-7.156723,-0.290496,-0.124584,-0.948731,,,
8,2026-04-07,15:35:33.74,2,6,"D'Ancona, Luke",839403,Right,BOC_EAG,"OBrien, Gavin",10271716,Right,UMA_AMH,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.21966,-2.098809,-2.343598,2306.117706,210.111618,1:00,5.81978,1.46525,5.93699,-14.06804,20.19096,10.94371,2.6979,0.20188,81.65232,-4.845197,-0.379666,0.421268,80.44923,8.676475,132.163329,4537.220774,,,,,42.56951,,,-6.34807,11.39056,-1.28414,50,5.64429,4.91397,-132.05235,-5.19591,-10.97512,33.59495,-12.48103,BOC_EAG,UMA_AMH,HarringtonVillage,D1,ACC,20260407-HarringtonVillage-1,f22183d0-32b8-11f1-8bf7-392ba3b9b604,89.47374,7.68968,,9.56735,,,,-1.07745,2.54869,-0.2326,f6919a84-6d4d-4c73-9e22-e48d102a19af,2026-04-07,19:35:33.74,2026-04-07T15:35:33.7461248-04:00,2026-04-07T19:35:33.7461248Z,,v3,227,umass,26583,"Gonzalez, Cesar",831498,Right,BOC_EAG,7fea1372-d941-4d3b-bb2d-fb71ddfce31c,54.55681,-133.20659,16.79747,5.81544,-4.7671,-6.24052,-1.45945,5.29104,-5.48756,,-1.08015,-78.20429,7.71894,,,,,,,2.54838,17.81196,-11.78728,,,,,,,-0.21493,85.84696,-21.61506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,220.809968,22.293987,2133.734336,0.92525,1:15,-0.385297,-0.618187,-0.685122,-34.786272,-15.311048,-76.517074,161.787622,1.617625,0.312416,0.028229,-0.949526,1.702885,18.204865,0.028229,0.312416,0.949526,-1.702885,-18.204865,-0.028229,-0.312416,0.949526,-161.787622,-1.617625,-0.312416,-0.028229,-0.949526,63.72801,-14.73216,33.16913
9,2026-04-07,15:35:54.55,2,7,"D'Ancona, Luke",839403,Right,BOC_EAG,"OBrien, Gavin",10271716,Right,UMA_AMH,Undefined,1,Top,1,2,2,Slider,Slider,InPlay,Undefined,LineDrive,Double,0,0,,80.20743,1.000986,-1.353325,2438.197259,88.491046,9:00,5.86388,1.55412,5.24603,-43.97845,1.54374,-7.2576,3.14005,-0.32271,71.9736,-7.069867,-2.640467,0.485605,90.53055,20.271476,-34.629703,2707.989787,86.62166,28.72307,-67.79888,248.12692,230.43543,-43.812348,2.600454,3.17292,0.86835,-1.42412,50,5.92336,3.04166,-116.11029,0.49822,4.22583,26.68361,-31.01757,BOC_EAG,UMA_AMH,HarringtonVillage,D1,ACC,20260407-HarringtonVillage-1,fe9169f0-32b8-11f1-8bf7-392ba3b9b604,77.61959,29.63191,,8.23382,,,,2.69559,3.27972,0.34367,f6919a84-6d4d-4c73-9e22-e48d102a19af,2026-04-07,19:35:54.55,2026-04-07T15:35:54.5536512-04:00,2026-04-07T19:35:54.5536512Z,LineDrive,v3,227,umass,26583,"Gonzalez, Cesar",831498,Right,BOC_EAG,a060d13a-43fb-4078-823c-c837e3f1521b,55.25071,-117.31076,13.3418,5.86956,1.89367,-15.50878,-1.55669,2.85154,2.11292,100.7226,2.69561,102.48881,-20.00878,4.09984,-0.76076,0.03652,0.03267,-0.01183,0.00139,3.2797,46.00401,-22.35709,2.38001,-0.46995,0.10926,-0.02756,0.00581,-0.00059,0.34362,-70.77561,-0.55355,1.88313,-0.70515,0.20655,-0.04895,0.00853,-0.00071,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,62.938579,75.764315,599.579832,0.245911,8:00,-0.962407,0.235888,0.134644,46.464534,59.212412,46.868691,157.183464,-20.043147,0.364296,-0.342728,-0.865925,21.593344,-21.364237,0.342728,-0.364296,0.865925,-21.593344,21.364237,-0.342728,0.364296,0.865925,-157.183464,20.043147,-0.364296,0.342728,-0.865925,67.87409,24.98606,-20.6311
10,2026-04-07,15:36:44.37,3,1,"D'Ancona, Luke",839403,Right,BOC_EAG,"Fox, Tyler",804043,Left,UMA_AMH,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.16857,0.987179,-0.987874,2229.496066,86.210103,8:45,5.85192,1.85876,5.07503,-43.97995,1.31536,-3.75154,3.1178,0.61473,72.75649,-7.029372,-1.651382,0.484393,,,,,,,,,,,,1.54236,0.86,-1.76205,50,5.91121,2.1641,-116.16293,0.4081,2.08516,23.90961,-31.0114,BOC_EAG,UMA_AMH,HarringtonVillage,D1,ACC,20260407-HarringtonVillage-1,1c44b740-32b9-11f1-8bf7-392ba3b9b604,77.81374,,,7.41208,,,,,,,f6919a84-6d4d-4c73-9e22-e48d102a19af,2026-04-07,19:36:44.37,2026-04-07T15:36:44.3721728-04:00,2026-04-07T19:36:44.3721728Z,,v3,227,umass,26583,"Gonzalez, Cesar",831498,Right,BOC_EAG,aaca65ac-36d1-41a2-b60c-f5eac1c0802f,55.42086,-117.27339,11.95481,5.85881,1.84839,-15.5057,-1.86032,2.06726,1.04258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,88.230018,82.881688,276.276097,0.123919,9:00,-0.989798,0.140937,0.020896,52.256475,41.117801,45.332842,151.861852,-11.220627,0.462585,-0.194587,-0.864957,12.678624,-27.554011,0.194587,-0.462585,0.864957,-12.678624,27.554011,-0.194587,0.462585,0.864957,-151.861852,11.220627,-0.462585,0.194587,-0.864957,,,
