PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-05-10,12:04:26.23,1,1,"Miller, Brady",815959,Left,BOC_EAG,"Sallie, Ty",1000121067,Right,NJI_HIG,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.12419,-1.746448,2.645589,2197.718058,130.63306,10:15,5.85214,-1.67871,5.64706,-21.39978,12.40808,-13.00532,2.43759,-0.29306,82.93085,-5.76808,0.323534,0.418485,,,,,,,,,,,,7.41882,7.21512,1.46248,50,5.69052,-5.56309,-133.37787,-4.80247,13.14804,33.01507,-19.38699,BOC_EAG,NJI_HIG,HarringtonVillage,D1,ACC,20260510-HarringtonVillage-1,eb5ae830-4c89-11f1-b7d8-151fc49268df,90.06874,,,9.19334,,,,,,,b1484b88-4158-4df7-bc8c-565b9a528c8f,2026-05-10,16:04:26.23,2026-05-10T12:04:26.2324736-04:00,2026-05-10T16:04:26.2324736Z,,v3,227,471378,26835,"Johnson, Gunnar",1000100233,Right,BOC_EAG,8fae6c9d-e1a7-42e8-8939-8118a8b609e9,54.84844,-134.57266,16.50754,5.85162,-4.10088,-9.69349,1.67241,-6.03891,6.57402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,128.707835,-17.032814,2101.319888,0.956137,10:15,0.297355,0.754697,-0.584818,47.037404,22.893084,-27.875983,171.616862,7.470793,0.144554,0.130021,-0.980917,7.550553,8.31147,0.130021,0.144554,0.980917,-7.550553,-8.31147,-0.130021,-0.144554,0.980917,-171.616862,-7.470793,-0.144554,-0.130021,-0.980917,,,
2,2026-05-10,12:04:40.50,1,2,"Miller, Brady",815959,Left,BOC_EAG,"Sallie, Ty",1000121067,Right,NJI_HIG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.9905,-0.587218,2.737375,2311.264451,134.763297,10:30,5.76871,-1.81512,5.59794,-16.75505,17.49485,-16.27288,3.82358,-0.61362,81.87675,-3.811541,-0.1637,0.421212,,,,,,,,,,,,9.05867,9.38406,1.59068,50,5.70783,-5.58151,-133.05897,-1.86608,15.84138,35.08468,-15.76358,BOC_EAG,NJI_HIG,HarringtonVillage,D1,ACC,20260510-HarringtonVillage-1,f3dca430-4c89-11f1-b7d8-151fc49268df,89.4856,,,10.11376,,,,,,,b1484b88-4158-4df7-bc8c-565b9a528c8f,2026-05-10,16:04:40.50,2026-05-10T12:04:40.5076992-04:00,2026-05-10T16:04:40.5076992Z,,v3,227,471378,26835,"Johnson, Gunnar",1000100233,Right,BOC_EAG,c64b0346-4ec4-4c0d-b6de-2d58ea9bf0a8,54.89438,-134.34331,17.54234,5.76558,-1.28903,-7.88179,1.80562,-6.16141,7.92069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,123.93549,-11.058025,2268.352229,0.981433,10:15,0.209405,0.816186,-0.538508,50.310833,26.26277,-24.693636,174.079072,6.099754,0.102572,0.10626,-0.989034,6.132221,5.887288,0.10626,0.102572,0.989034,-6.132221,-5.887288,-0.10626,-0.102572,0.989034,-174.079072,-6.099754,-0.102572,-0.10626,-0.989034,,,
3,2026-05-10,12:04:55.92,1,3,"Miller, Brady",815959,Left,BOC_EAG,"Sallie, Ty",1000121067,Right,NJI_HIG,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.82134,-1.953393,2.890931,2187.199073,132.124643,10:30,5.79935,-1.65628,5.64191,-20.33556,13.96646,-13.95371,2.27949,-0.12002,82.06378,-5.802132,0.400645,0.421533,73.43248,48.946308,149.010579,4138.445393,,,,,45.01926,,,8.08756,8.13855,1.41979,50,5.62071,-6.07156,-132.81131,-5.20797,14.09831,34.81295,-17.98686,BOC_EAG,NJI_HIG,HarringtonVillage,D1,ACC,20260510-HarringtonVillage-1,fd0accd0-4c89-11f1-b7d8-151fc49268df,89.41758,43.51588,,9.75757,,,,2.28728,2.42945,0.10686,b1484b88-4158-4df7-bc8c-565b9a528c8f,2026-05-10,16:04:55.92,2026-05-10T12:04:55.9223296-04:00,2026-05-10T16:04:55.9223296Z,,v3,227,471378,26835,"Johnson, Gunnar",1000100233,Right,BOC_EAG,a25b8e85-a9eb-4c2c-a663-d3c76d9b89fa,54.85378,-134.07756,17.40647,5.79824,-4.55373,-8.99343,1.64996,-6.58436,7.04916,351.172404,2.28728,-60.63816,1.31358,1.09202,0.39611,-2.17687,3.40178,-2.40195,0.61031,2.42945,81.2161,-34.02741,4.76888,-0.12738,-2.47578,3.76255,-2.38932,0.48603,0.10686,36.41976,-3.30116,-0.00575,-0.22827,0.85246,-1.33534,0.96515,-0.25563,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,124.203759,-9.515168,2157.107312,0.986242,10:15,0.165196,0.820825,-0.546768,46.517724,18.426296,-19.505046,176.464268,9.603592,0.060807,0.166831,-0.984109,9.621564,3.486119,0.166831,0.060807,0.984109,-9.621564,-3.486119,-0.166831,-0.060807,0.984109,-176.464268,-9.603592,-0.060807,-0.166831,-0.984109,85.07245,19.14481,-11.44928
4,2026-05-10,12:05:14.73,1,4,"Miller, Brady",815959,Left,BOC_EAG,"Sallie, Ty",1000121067,Right,NJI_HIG,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.89736,-1.056309,-0.197467,2727.649568,283.198838,3:30,5.74389,-1.79293,5.30727,-47.37731,-2.66752,17.23501,0.80413,-0.54203,73.7901,-9.624431,2.87184,0.481252,,,,,,,,,,,,-8.72485,-0.64146,1.79784,50,5.61346,-0.29079,-116.04235,-3.80787,-11.88245,21.95912,-33.04768,BOC_EAG,NJI_HIG,HarringtonVillage,D1,ACC,20260510-HarringtonVillage-1,0855baf0-4c8a-11f1-b7d8-151fc49268df,78.3216,,,6.10726,,,,,,,b1484b88-4158-4df7-bc8c-565b9a528c8f,2026-05-10,16:05:14.73,2026-05-10T12:05:14.7383808-04:00,2026-05-10T16:05:14.7383808Z,,v3,227,471378,26835,"Johnson, Gunnar",1000100233,Right,BOC_EAG,e668abc6-bcce-4778-bb38-76a8c1eb894b,55.19394,-117.02109,10.97956,5.75035,-2.3349,-16.52384,1.799,0.23883,-5.94122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,299.327361,-63.77333,1205.41233,0.441923,4:00,0.904744,-0.368682,0.213337,67.603385,-1.51834,-31.684179,94.602146,13.581549,0.968903,0.234829,-0.077993,71.62739,75.673805,0.234829,0.968903,0.077993,-71.62739,-75.673805,-0.234829,-0.968903,0.077993,-94.602146,-13.581549,-0.968903,-0.234829,-0.077993,,,
5,2026-05-10,12:05:32.52,1,5,"Miller, Brady",815959,Left,BOC_EAG,"Sallie, Ty",1000121067,Right,NJI_HIG,Undefined,1,Top,0,2,2,Cutter,Slider,InPlay,Undefined,FlyBall,Out,1,0,,85.36579,-0.726073,1.308363,2633.683844,191.280123,12:30,5.91611,-1.3966,5.55427,-30.09915,8.15741,1.42193,2.72921,-0.0554,79.34698,-6.244261,1.562058,0.445168,97.02522,25.989679,-7.822197,2094.962704,109.34095,50.22626,-12.02178,372.13425,363.97299,-4.25794,4.775082,-0.41886,4.60477,1.28251,50,5.83321,-2.89281,-124.14501,-2.61594,-0.66337,21.40276,-24.88125,BOC_EAG,NJI_HIG,HarringtonVillage,D1,ACC,20260510-HarringtonVillage-1,12dc47a0-4c8a-11f1-b7d8-151fc49268df,84.67008,71.60917,,6.01881,,,,2.11568,2.82658,0.06669,b1484b88-4158-4df7-bc8c-565b9a528c8f,2026-05-10,16:05:32.52,2026-05-10T12:05:32.5252096-04:00,2026-05-10T16:05:32.5252096Z,FlyBall,v3,227,471378,26835,"Johnson, Gunnar",1000100233,Right,BOC_EAG,fa403343-da46-4d81-bff6-73df91ff991e,54.94675,-124.99493,10.70138,5.91747,-1.62789,-12.44062,1.39686,-2.86647,-0.33168,196.819099,2.11626,126.70945,-22.58376,5.00101,-0.94618,0.16616,-0.02753,0.00338,-0.00019,2.82758,62.33481,-14.79412,0.09109,0.2809,-0.15962,0.04703,-0.0067,0.00036,0.06609,-17.39411,6.76803,-1.86976,0.35516,-0.04982,0.00577,-0.00061,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,153.460264,-64.644822,1127.818048,0.428228,11:00,0.909686,0.202776,-0.362427,60.569397,4.109649,-63.778662,165.656708,8.240484,0.245173,0.143328,-0.958826,8.501798,14.192078,0.143328,0.245173,0.958826,-8.501798,-14.192078,-0.143328,-0.245173,0.958826,-165.656708,-8.240484,-0.245173,-0.143328,-0.958826,72.25149,17.58073,-6.74425
6,2026-05-10,12:06:07.12,2,1,"Miller, Brady",815959,Left,BOC_EAG,"Francis, Austin",1000236684,Right,NJI_HIG,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.97897,0.956977,-0.177659,2620.469991,271.542235,3:00,5.62301,-1.85261,5.17301,-45.15191,0.90689,20.05619,2.76098,-0.34844,72.42704,-7.255074,3.377312,0.488459,,,,,,,,,,,,-10.02091,0.63772,1.85333,50,5.67778,-0.46801,-114.64854,0.32484,-13.30731,21.64799,-31.32717,BOC_EAG,NJI_HIG,HarringtonVillage,D1,ACC,20260510-HarringtonVillage-1,2783e870-4c8a-11f1-b7d8-151fc49268df,77.1661,,,6.55193,,,,,,,b1484b88-4158-4df7-bc8c-565b9a528c8f,2026-05-10,16:06:07.12,2026-05-10T12:06:07.1220224-04:00,2026-05-10T16:06:07.1220224Z,,v3,227,471378,26835,"Johnson, Gunnar",1000100233,Right,BOC_EAG,221637cb-c0a9-4619-ade8-8cc6ec13a267,55.32688,-115.64999,10.824,5.62923,1.77405,-15.66359,1.86074,0.1476,-6.65366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,297.027882,-64.015559,1148.098828,0.438127,4:00,0.892882,-0.405236,0.196328,67.331511,7.642032,-32.925916,90.587605,20.721935,0.935259,0.353833,-0.009592,88.447156,69.270102,0.353833,0.935259,0.009592,-88.447156,-69.270102,-0.353833,-0.935259,0.009592,-90.587605,-20.721935,-0.935259,-0.353833,-0.009592,,,
7,2026-05-10,12:06:20.37,2,2,"Miller, Brady",815959,Left,BOC_EAG,"Francis, Austin",1000236684,Right,NJI_HIG,Undefined,1,Top,1,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.94537,0.403453,1.385959,2636.038427,271.041931,3:00,5.59445,-2.00686,5.20665,-42.65057,1.06472,14.77544,2.41977,0.52809,74.46312,-7.343154,4.004289,0.47587,60.98505,55.414181,147.905764,5380.786855,-97.8211,48.24144,50.30935,151.06601,44.69209,153.560355,3.466891,-7.07831,0.74524,1.86675,50,5.59932,-3.4394,-117.52381,-0.68336,-9.8944,22.38257,-31.13233,BOC_EAG,NJI_HIG,HarringtonVillage,D1,ACC,20260510-HarringtonVillage-1,2f6593e0-4c8a-11f1-b7d8-151fc49268df,79.20747,58.21098,,6.48225,,,,1.77374,2.53065,-0.4846,b1484b88-4158-4df7-bc8c-565b9a528c8f,2026-05-10,16:06:20.37,2026-05-10T12:06:20.3759104-04:00,2026-05-10T16:06:20.3759104Z,Popup,v3,227,471378,26835,"Johnson, Gunnar",1000100233,Right,BOC_EAG,e5b2756b-ff45-4d32-9e8f-db02c8321dbd,55.29449,-118.52786,11.19129,5.59865,0.7132,-15.56617,2.01109,-2.99555,-4.9472,344.65194,1.77395,-43.02625,-1.875,1.29221,0.16123,-0.35579,0.1577,-0.0309,0.00229,2.53104,73.62332,-28.44033,3.2368,-0.34677,-0.06906,0.02898,-0.00259,-4E-05,-0.48462,26.97805,-3.12317,0.4951,-0.16185,0.10584,-0.04871,0.01069,-0.00088,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,292.320644,-74.649732,697.809984,0.264719,3:45,0.959864,-0.251669,0.12379,60.29952,0.942904,-28.241312,97.835897,13.684338,0.962541,0.236573,-0.132466,60.753835,74.268217,0.236573,0.962541,0.132466,-60.753835,-74.268217,-0.236573,-0.962541,0.132466,-97.835897,-13.684338,-0.962541,-0.236573,-0.132466,67.33229,15.95317,-11.11514
8,2026-05-10,12:06:42.31,2,3,"Miller, Brady",815959,Left,BOC_EAG,"Francis, Austin",1000236684,Right,NJI_HIG,Undefined,1,Top,1,0,2,ChangeUp,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,84.86423,-0.592771,2.699053,2017.80903,74.358964,8:30,5.39438,-2.03077,5.62324,-42.47994,-2.82791,-15.01702,1.3006,-0.76166,77.15505,-8.371254,0.014148,0.453215,76.17846,-0.612773,35.79065,2804.582022,,,,29.05564,26.32019,34.133086,0.257357,8.47504,-0.8598,1.8105,50,5.3165,-5.17587,-123.04124,-2.79477,12.83064,27.24769,-33.47575,BOC_EAG,NJI_HIG,HarringtonVillage,D1,ACC,20260510-HarringtonVillage-1,3c7cdd90-4c8a-11f1-b7d8-151fc49268df,83.16682,1.38826,,7.70918,,,,1.32998,1.38826,0.63277,b1484b88-4158-4df7-bc8c-565b9a528c8f,2026-05-10,16:06:42.31,2026-05-10T12:06:42.3136256-04:00,2026-05-10T16:06:42.3136256Z,GroundBall,v3,227,471378,26835,"Johnson, Gunnar",1000100233,Right,BOC_EAG,60e220f4-a8af-4390-aeca-7106e57383e1,54.87616,-124.11637,13.62384,5.40072,-1.47389,-16.73787,2.02472,-5.68214,6.41532,,1.33066,90.58966,-8.98079,,,,,,,1.38965,-1.26652,-16.08035,,,,,,,0.63578,65.18203,-16.7612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,85.750147,5.597221,2008.188382,0.995232,8:45,-0.111151,0.991433,0.068595,55.828261,-24.755967,-72.040456,101.185956,-59.195044,0.502388,-0.858916,-0.099348,83.402127,-30.158137,0.858916,-0.502388,0.099348,-83.402127,30.158137,-0.858916,0.502388,0.099348,-101.185956,59.195044,-0.502388,0.858916,-0.099348,,,
9,2026-05-10,12:07:19.67,3,1,"Miller, Brady",815959,Left,BOC_EAG,"O'Connor, Rowin",832258,Right,NJI_HIG,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.38542,-2.242352,3.372637,2439.350787,134.923002,10:30,5.821,-1.77084,5.86765,-16.28095,15.6832,-14.75253,2.37666,0.13625,85.80537,-5.315225,0.731056,0.406914,75.1823,17.422003,159.079901,1899.854827,-104.79994,11.65013,33.42021,149.6296,45.89352,163.404513,1.692571,8.44481,8.91162,1.50621,50,5.62959,-7.33876,-135.47038,-5.83093,15.7966,27.7731,-15.50426,BOC_EAG,NJI_HIG,HarringtonVillage,D1,ACC,20260510-HarringtonVillage-1,52bc3560-4c8a-11f1-b7d8-151fc49268df,92.62993,14.6904,,7.58005,,,,0.5651,2.34842,-0.17373,b1484b88-4158-4df7-bc8c-565b9a528c8f,2026-05-10,16:07:19.67,2026-05-10T12:07:19.6752384-04:00,2026-05-10T16:07:19.6752384Z,LineDrive,v3,227,471378,26835,"Johnson, Gunnar",1000100233,Right,BOC_EAG,d8cc2ef9-3a7e-4ca4-b283-cf010e41fdcf,54.63234,-136.41676,13.88655,5.81928,-5.30261,-7.75213,1.76545,-7.87704,7.8983,307.873416,0.47475,-97.52335,7.42273,,,,,,,2.72657,29.91233,-18.73831,,,,,,,0.07814,35.46524,-6.13488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,128.136068,-10.062093,2401.831102,0.984619,10:15,0.179801,0.780692,-0.598492,43.369462,26.459679,-40.858059,176.046417,-1.831825,0.068913,-0.031966,-0.99711,1.836192,-3.95156,0.031966,-0.068913,0.99711,-1.836192,3.95156,-0.031966,0.068913,0.99711,-176.046417,1.831825,-0.068913,0.031966,-0.99711,,,
10,2026-05-10,12:07:37.74,3,2,"Miller, Brady",815959,Left,BOC_EAG,"O'Connor, Rowin",832258,Right,NJI_HIG,Undefined,1,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.34145,-3.801922,3.216223,2435.796097,139.44298,10:45,5.86317,-1.41328,5.67345,-15.0132,18.49351,-14.61914,1.05677,0.37006,82.85955,-6.705249,0.607297,0.416617,,,,,,,,,,,,8.57544,11.1615,1.15104,50,5.53257,-6.88178,-134.64746,-9.39347,15.2603,37.58682,-12.31171,BOC_EAG,NJI_HIG,HarringtonVillage,D1,ACC,20260510-HarringtonVillage-1,5d7a25c0-4c8a-11f1-b7d8-151fc49268df,90.47254,,,10.4819,,,,,,,b1484b88-4158-4df7-bc8c-565b9a528c8f,2026-05-10,16:07:37.74,2026-05-10T12:07:37.7459200-04:00,2026-05-10T16:07:37.7459200Z,,v3,227,471378,26835,"Johnson, Gunnar",1000100233,Right,BOC_EAG,da49e032-be6a-44c5-b510-c5d5c6789d5e,54.82053,-135.98644,18.79341,5.85939,-8.95488,-6.15585,1.40588,-7.42541,7.63015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,130.409442,-8.729714,2407.578152,0.988415,10:15,0.137324,0.761018,-0.63403,51.596491,10.370257,-18.552085,179.760008,-1.675902,0.004187,-0.029246,-0.999563,1.675917,-0.239889,0.029246,-0.004187,0.999563,-1.675917,0.239889,-0.029246,0.004187,0.999563,-179.760008,1.675902,-0.004187,0.029246,-0.999563,,,
