PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-05-21,15:40:15.42,1,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Ogden, Jake",804826,Right,MIA_HUR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.96626,-2.092712,1.134416,2167.897887,155.635942,11:15,5.85969,-1.15128,5.60267,-12.06127,22.3484,-9.58209,2.89976,-0.89066,82.43372,-4.440764,-0.575697,0.422194,,,,,,,,,,,,5.1652,12.2628,1.06043,50,5.67295,-2.17496,-131.8826,-5.12438,9.02803,30.03559,-10.74046,BOC_EAG,MIA_HUR,TruistField,D1,ACC,20260521-TruistField-2,e44c30f0-554c-11f1-b22b-2feaa7944c68,89.27762,,,8.53254,,,,,,,ca2eee80-f2ce-4c98-97a8-1c82669d3b1d,2026-05-21,19:40:15.42,2026-05-21T15:40:15.4263552-04:00,2026-05-21T19:40:15.4263552Z,,v3,227,236,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,053ae5a8-3718-4090-a680-b7c4e21be13b,54.89261,-132.9922,15.0178,5.85493,-4.7276,-5.37023,1.14694,-2.50848,4.51402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-05-21,15:40:32.66,1,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Ogden, Jake",804826,Right,MIA_HUR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.08325,-3.244959,2.035735,2142.113912,150.870485,11:00,5.76978,-1.186,5.5867,-14.37615,18.70966,-9.88646,1.53649,-0.10812,85.0339,-5.952704,0.272315,0.413992,,,,,,,,,,,,5.52374,10.59095,1.01781,50,5.4815,-4.30924,-133.60085,-8.03124,10.09471,25.78514,-12.81891,BOC_EAG,MIA_HUR,TruistField,D1,ACC,20260521-TruistField-2,ee958d90-554c-11f1-b22b-2feaa7944c68,91.04625,,,7.04935,,,,,,,ca2eee80-f2ce-4c98-97a8-1c82669d3b1d,2026-05-21,19:40:32.66,2026-05-21T15:40:32.6615040-04:00,2026-05-21T19:40:32.6615040Z,,v3,227,236,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,a12fb287-2166-4525-9a59-864bd0411c32,54.91224,-134.54558,12.89257,5.76715,-7.56158,-6.40946,1.18247,-4.67909,5.04736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-05-21,15:40:50.12,1,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Ogden, Jake",804826,Right,MIA_HUR,Undefined,1,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,92.56102,-1.589215,1.143268,2219.951776,158.805038,11:15,5.81274,-1.07189,5.29595,-13.0067,20.40556,-7.49036,3.23611,-0.62257,84.32055,-4.07699,-0.185943,0.41603,92.41212,16.69975,19.526367,3084.0812,101.37918,26.16516,42.68755,276.31716,264.81796,27.395522,2.736453,4.0815,10.99973,0.97364,50,5.65928,-2.32776,-134.26783,-4.12377,7.43817,29.53206,-12.12808,BOC_EAG,MIA_HUR,TruistField,D1,ACC,20260521-TruistField-2,f8f928f0-554c-11f1-b22b-2feaa7944c68,90.60034,27.93341,,8.24047,,,,0.52132,3.25392,0.63756,ca2eee80-f2ce-4c98-97a8-1c82669d3b1d,2026-05-21,19:40:50.12,2026-05-21T15:40:50.1272064-04:00,2026-05-21T19:40:50.1272064Z,LineDrive,v3,227,236,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,36cf8f94-bb90-46e4-941f-5b58cf662d4d,55.20109,-135.40698,14.76603,5.80932,-3.65595,-6.06404,1.06896,-2.61467,3.71908,236.367469,0.52132,122.35595,-20.16849,4.71674,-0.98534,0.19238,-0.03177,0.00344,-0.00017,3.25393,38.94542,-16.11666,0.6346,-0.03045,-0.00176,-0.00325,0.00148,-0.00016,0.63756,43.39137,1.41268,-0.28271,0.09206,-0.022,0.00373,-0.00036,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-05-21,15:41:18.30,2,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Galvin, Max",803344,Left,MIA_HUR,Undefined,1,Top,1,0,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.90551,-1.325868,1.02912,2345.573143,210.129619,1:00,5.55322,-1.58794,5.31835,-28.38309,9.2791,4.72036,1.94325,-0.22867,79.94306,-6.531719,1.867827,0.441697,,,,,,,,,,,,-2.09579,5.35788,1.49122,50,5.41276,-2.4727,-126.16006,-3.94762,-3.39077,24.74094,-23.5055,BOC_EAG,MIA_HUR,TruistField,D1,ACC,20260521-TruistField-2,09c23000-554d-11f1-b22b-2feaa7944c68,85.33557,,,6.96245,,,,,,,ca2eee80-f2ce-4c98-97a8-1c82669d3b1d,2026-05-21,19:41:18.30,2026-05-21T15:41:18.3054336-04:00,2026-05-21T19:41:18.3054336Z,,v3,227,236,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,b8ffe9db-904d-458b-9d37-4a624fab5a65,55.17921,-127.17169,12.37047,5.55452,-2.98651,-11.75275,1.58949,-2.33406,-1.69539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-05-21,15:41:31.46,2,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Galvin, Max",803344,Left,MIA_HUR,Undefined,1,Top,1,0,1,Cutter,Cutter,InPlay,Undefined,GroundBall,Single,0,0,,87.49122,-0.793044,1.648533,2354.380891,207.369074,1:00,5.59641,-1.83557,5.20704,-26.93336,10.47146,4.81973,2.60581,0.11681,80.21351,-5.742157,2.5023,0.440185,102.49154,-9.249292,14.049811,,,,,18.52124,18.52124,12.15461,0.111889,-1.97181,5.79012,1.67923,50,5.50295,-3.86636,-126.95938,-2.7417,-3.22237,25.69069,-22.7118,BOC_EAG,MIA_HUR,TruistField,D1,ACC,20260521-TruistField-2,118cd100-554d-11f1-b22b-2feaa7944c68,85.62866,2.75346,,7.27771,,,,2.20437,2.75346,-0.09409,ca2eee80-f2ce-4c98-97a8-1c82669d3b1d,2026-05-21,19:41:31.46,2026-05-21T15:41:31.4690048-04:00,2026-05-21T19:41:31.4690048Z,GroundBall,v3,227,236,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,34ff08e9-3d2f-42c0-b71e-65e97d55c920,55.29109,-128.02557,12.84534,5.59718,-1.79913,-11.3559,1.83691,-3.73262,-1.61118,187.077315,2.20453,143.90876,-16.01063,,,,,,,2.75339,-24.15238,-4.07011,,,,,,,-0.09406,36.01525,-2.87657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-05-21,15:42:10.35,3,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Williams, Derek",804746,Right,MIA_HUR,Undefined,1,Top,1,0,0,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.50563,1.873412,1.14265,2656.459955,289.118353,3:45,5.78681,-1.58675,4.74497,-54.59046,-3.84874,15.19887,3.01549,0.76375,70.02251,-7.916193,3.813349,0.512689,55.31394,74.638379,170.689519,,,,,98.57358,75.42116,165.172808,4.208862,-7.2452,-2.02575,1.45746,50,5.9263,-2.78929,-109.62998,1.63956,-8.89078,17.87463,-34.6599,BOC_EAG,MIA_HUR,TruistField,D1,ACC,20260521-TruistField-2,2a03f060-554d-11f1-b22b-2feaa7944c68,73.51911,75.14475,,5.48312,,,,1.44475,3.2892,-0.74603,ca2eee80-f2ce-4c98-97a8-1c82669d3b1d,2026-05-21,19:42:10.35,2026-05-21T15:42:10.3506944-04:00,2026-05-21T19:42:10.3506944Z,Popup,v3,227,236,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,f8ade4f8-927e-46d3-a72b-d83df9f6d275,55.75704,-110.56465,8.93732,5.79318,3.45194,-17.32995,1.59115,-2.32439,-4.44539,355.55085,1.44426,-21.19208,-4.00944,2.23893,-0.88968,0.34293,-0.08702,0.011,-0.00052,3.27851,78.51353,-26.78733,5.84107,-3.41146,1.55925,-0.41345,0.05609,-0.00302,-0.74798,3.5394,-1.87546,2.18656,-1.43156,0.72755,-0.21189,0.03066,-0.00173,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-05-21,15:42:32.31,3,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Williams, Derek",804746,Right,MIA_HUR,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.14363,-1.461899,1.424068,2128.627864,148.766043,11:00,5.70819,-1.24852,5.40329,-14.49095,19.53359,-11.08993,3.13011,-0.83806,82.88291,-4.247186,-0.547836,0.419824,,,,,,,,,,,,5.97339,10.60028,1.12948,50,5.56826,-2.78536,-133.45435,-3.83531,10.61437,32.65902,-13.33792,BOC_EAG,MIA_HUR,TruistField,D1,ACC,20260521-TruistField-2,36396590-554d-11f1-b22b-2feaa7944c68,89.78147,,,9.26072,,,,,,,ca2eee80-f2ce-4c98-97a8-1c82669d3b1d,2026-05-21,19:42:32.31,2026-05-21T15:42:32.3112960-04:00,2026-05-21T19:42:32.3112960Z,,v3,227,236,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,3f0817f0-595b-4ab7-b642-fec70964b695,55.09011,-134.69424,16.32951,5.70426,-3.32894,-6.66896,1.24288,-3.18834,5.30719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-05-21,15:42:49.25,3,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Williams, Derek",804746,Right,MIA_HUR,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.2435,-0.782563,1.476258,2561.797245,313.14869,4:30,5.81201,-1.28116,4.81368,-55.75346,-6.41512,8.6465,0.42429,0.83812,70.72263,-10.773212,3.002279,0.505549,,,,,,,,,,,,-3.82788,-2.51575,1.1265,50,5.68569,-3.23595,-111.92771,-3.55127,-4.7908,22.73021,-35.32268,BOC_EAG,MIA_HUR,TruistField,D1,ACC,20260521-TruistField-2,40264a50-554d-11f1-b22b-2feaa7944c68,74.55737,,,6.52086,,,,,,,ca2eee80-f2ce-4c98-97a8-1c82669d3b1d,2026-05-21,19:42:49.25,2026-05-21T15:42:49.2573184-04:00,2026-05-21T19:42:49.2573184Z,,v3,227,236,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,a0d71b3c-c369-4727-b2e6-670dc89edf00,55.68585,-113.0765,11.36511,5.82006,-1.76606,-17.66134,1.28393,-2.99382,-2.3954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-05-21,15:43:11.61,3,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Williams, Derek",804746,Right,MIA_HUR,Undefined,1,Top,1,2,1,Cutter,Cutter,HitByPitch,Undefined,Undefined,Undefined,0,0,,87.41656,-3.301492,4.188592,2306.060146,181.281658,12:00,5.63699,-1.64242,5.59442,-28.40568,8.62835,0.16823,0.17572,2.28928,80.84157,-8.485584,4.218519,0.437998,,,,,,,,,,,,1.0091,5.57831,1.28263,50,5.33443,-9.27136,-126.50078,-8.31036,1.6449,24.36711,-23.08107,BOC_EAG,MIA_HUR,TruistField,D1,ACC,20260521-TruistField-2,4d516a20-554d-11f1-b22b-2feaa7944c68,86.05627,,,6.57499,,,,,,,ca2eee80-f2ce-4c98-97a8-1c82669d3b1d,2026-05-21,19:43:11.61,2026-05-21T15:43:11.6106240-04:00,2026-05-21T19:43:11.6106240Z,,v3,227,236,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,35c92cf2-cbb2-4bc6-b130-0265c31ca84f,54.90403,-127.44191,12.18355,5.63819,-7.4189,-11.54054,1.64195,-9.33489,0.82245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-05-21,15:43:55.83,4,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Sosa, Alex",806227,Left,MIA_HUR,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.31115,-0.530734,2.199053,2214.699494,221.865273,1:30,5.58525,-1.73867,5.36703,-31.20202,6.87284,5.1491,2.48707,0.75332,79.52573,-6.240661,3.113415,0.44411,,,,,,,,,,,,-2.01555,3.93532,1.53756,50,5.51548,-5.03277,-125.29351,-2.29243,-3.22139,24.02758,-25.88434,BOC_EAG,MIA_HUR,TruistField,D1,ACC,20260521-TruistField-2,67b53e50-554d-11f1-b22b-2feaa7944c68,84.87188,,,6.78542,,,,,,,ca2eee80-f2ce-4c98-97a8-1c82669d3b1d,2026-05-21,19:43:55.83,2026-05-21T15:43:55.8390784-04:00,2026-05-21T19:43:55.8390784Z,,v3,227,236,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,ad56d0ea-9637-48bb-a8e8-17d8161846ff,55.13112,-126.27367,12.01379,5.58746,-1.23652,-12.94217,1.74018,-4.90136,-1.6107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
