PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-05-29,12:06:56.95,1,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Marsh, Tanner",835651,Right,LIB_FLA,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.25425,-3.160533,2.215035,2165.144617,142.243834,10:45,5.94787,-1.12004,5.8054,-15.54442,18.13694,-13.218,1.70795,-0.16048,83.63614,-6.105735,-0.152275,0.417702,74.13347,31.111511,150.850504,3294.89766,,,,,42.42127,,,7.38461,10.46001,0.94627,50,5.67884,-4.55157,-132.33842,-7.78228,13.12406,27.67565,-13.58438,BOC_EAG,LIB_FLA,UGeorgia,D1,SEC,20260529-UGeorgia-1,6fb93d50-5b78-11f1-8b41-2fa142449b60,90.23769,22.56644,,7.6181,,,,1.86933,1.68539,0.11081,f32c6353-0729-4132-b934-ffed9b5f81bf,2026-05-29,16:06:56.95,2026-05-29T12:06:56.9526784-04:00,2026-05-29T16:06:56.9526784Z,,v3,227,471336,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,d821cddc-46ff-4e64-b98d-bb2858131f74,54.6962,-133.31691,13.83783,5.9455,-7.302,-6.79219,1.1154,-5.01558,6.56203,325.907263,1.87289,-81.40024,4.62347,,,,,,,1.70718,55.58709,-27.17885,,,,,,,0.12101,45.06532,-8.55431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-05-29,12:07:13.28,1,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Marsh, Tanner",835651,Right,LIB_FLA,Undefined,1,Top,0,0,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.06358,-0.872437,0.698024,2410.347113,227.595723,1:30,5.67836,-1.52393,5.58644,-29.85218,7.48146,6.88717,2.37583,-0.29812,79.66503,-6.379268,1.927911,0.439766,85.89257,17.003536,61.987512,3900.373849,36.75826,21.04804,103.67618,254.59307,96.31256,79.98751,2.32904,-3.29315,4.39351,1.45935,50,5.58401,-1.83375,-126.40348,-2.97345,-5.31584,26.31727,-25.082,BOC_EAG,LIB_FLA,UGeorgia,D1,SEC,20260529-UGeorgia-1,7979bae0-5b78-11f1-8b41-2fa142449b60,85.71025,21.31897,,7.39855,,,,0.03764,2.38496,1.2055,f32c6353-0729-4132-b934-ffed9b5f81bf,2026-05-29,16:07:13.28,2026-05-29T12:07:13.2813312-04:00,2026-05-29T16:07:13.2813312Z,LineDrive,v3,227,471336,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,c5f35026-d774-4fb9-a574-e0d74d9adbec,54.9137,-127.4224,13.15864,5.68033,-2.00235,-12.541,1.52636,-1.62794,-2.65792,,0.03765,56.57895,-21.55617,3.55147,-0.63686,-0.00729,0.05798,-0.02266,0.00338,2.38495,36.83975,-19.82415,2.16075,-0.41934,0.11749,-0.04184,0.01099,-0.00123,1.20552,106.35408,4.35217,-2.92079,0.98125,-0.35029,0.1153,-0.03,0.00344,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-05-29,12:07:34.51,1,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Marsh, Tanner",835651,Right,LIB_FLA,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.86344,0.129937,1.357682,2133.781408,156.800306,11:15,5.97953,-0.96705,5.84052,-15.71721,17.20355,-6.96134,4.79056,-0.28508,84.35803,-2.854387,0.110022,0.412959,,,,,,,,,,,,3.88618,9.04071,0.86042,50,5.98076,-2.85634,-133.50861,-0.17131,7.06779,26.6904,-15.73181,BOC_EAG,LIB_FLA,UGeorgia,D1,SEC,20260529-UGeorgia-1,86165650-5b78-11f1-8b41-2fa142449b60,91.27415,,,7.5054,,,,,,,f32c6353-0729-4132-b934-ffed9b5f81bf,2026-05-29,16:07:34.51,2026-05-29T12:07:34.5106944-04:00,2026-05-29T16:07:34.5106944Z,,v3,227,471336,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,c687fbdc-5a88-47b2-9e6c-cda83119141b,54.65926,-134.43684,13.3452,5.9772,0.3758,-7.86591,0.96403,-3.10214,3.53389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-05-29,12:07:49.49,1,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Marsh, Tanner",835651,Right,LIB_FLA,Undefined,1,Top,0,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.2894,-0.712567,1.280564,2177.975998,169.487408,11:45,5.93561,-1.04529,5.88258,-12.04426,20.71407,-3.65394,4.26998,-0.16035,84.28496,-3.049245,0.625201,0.411938,,,,,,,,,,,,2.21,11.07894,0.94394,50,5.87098,-2.83411,-134.04647,-1.97346,4.02681,28.59065,-11.98743,BOC_EAG,LIB_FLA,UGeorgia,D1,SEC,20260529-UGeorgia-1,8f081230-5b78-11f1-8b41-2fa142449b60,91.50023,,,8.00444,,,,,,,f32c6353-0729-4132-b934-ffed9b5f81bf,2026-05-29,16:07:49.49,2026-05-29T12:07:49.4938624-04:00,2026-05-29T16:07:49.4938624Z,,v3,227,471336,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,6f97b45e-f50e-4fe7-8012-eb22dc209ce5,54.61639,-135.0275,14.29533,5.93163,-1.56214,-5.99371,1.04356,-2.97229,2.01341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-05-29,12:08:03.77,1,5,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Marsh, Tanner",835651,Right,LIB_FLA,Undefined,1,Top,0,2,2,Cutter,Cutter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.97373,-0.409566,0.608748,2357.980263,204.903813,12:45,5.74041,-1.53889,5.38976,-30.22447,7.84996,3.14953,2.83781,-0.70585,79.5798,-5.94521,1.16906,0.444108,,,,,,,,,,,,-1.43429,4.3865,1.48222,50,5.68252,-1.46293,-124.96142,-1.98084,-2.2946,22.40817,-25.15651,BOC_EAG,LIB_FLA,UGeorgia,D1,SEC,20260529-UGeorgia-1,979280c0-5b78-11f1-8b41-2fa142449b60,84.87233,,,6.39393,,,,,,,f32c6353-0729-4132-b934-ffed9b5f81bf,2026-05-29,16:08:03.77,2026-05-29T12:08:03.7760000-04:00,2026-05-29T16:08:03.7760000Z,,v3,227,471336,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,64e56e25-1995-482c-aaa0-b0fadce30ec9,55.11127,-125.87464,11.20408,5.74235,-0.95561,-12.57825,1.53994,-1.36942,-1.1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.30255,2.397154,1.131725,1.26543,-1.42378,2.53389,0.64715,-5.58812,3.79095,3.63777,75.97438,8.3819,48.82999,-5.50666,70.51809,-4.84524,3.86727,22.81721,-15.21336,3.65288,37.53084,-1.44654,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-05-29,12:08:30.75,2,1,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Decandido, Riley",1000092865,Left,LIB_FLA,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.97286,-1.021913,2.524979,2137.434644,154.382684,11:15,5.94585,-1.15582,5.84691,-13.50249,20.32328,-9.23036,3.86995,0.42296,83.03141,-3.624005,0.872087,0.418596,,,,,,,,,,,,5.39953,10.97812,0.95564,50,5.85469,-5.41907,-132.02986,-2.72072,9.53827,27.91047,-12.78125,BOC_EAG,LIB_FLA,UGeorgia,D1,SEC,20260529-UGeorgia-1,a79ccbb0-5b78-11f1-8b41-2fa142449b60,90.04488,,,7.94145,,,,,,,f32c6353-0729-4132-b934-ffed9b5f81bf,2026-05-29,16:08:30.75,2026-05-29T12:08:30.7526144-04:00,2026-05-29T16:08:30.7526144Z,,v3,227,471336,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,55fa5ddc-8b3d-4d62-9dca-5fc13a236632,54.65275,-133.00979,13.95524,5.94234,-2.27198,-6.39062,1.15178,-5.75396,4.76914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-05-29,12:08:43.70,2,2,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Decandido, Riley",1000092865,Left,LIB_FLA,Undefined,1,Top,1,1,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.48632,-1.007122,1.864222,2339.120595,205.73834,12:45,5.66132,-1.59854,5.66573,-27.38718,10.21823,4.36898,2.43936,0.50447,79.42182,-6.073794,2.644647,0.441364,,,,,,,,,,,,-1.71311,5.8189,1.4381,50,5.55889,-4.26981,-125.56102,-3.13476,-2.74068,24.91646,-22.8648,BOC_EAG,LIB_FLA,UGeorgia,D1,SEC,20260529-UGeorgia-1,af5f0840-5b78-11f1-8b41-2fa142449b60,85.39999,,,7.0645,,,,,,,f32c6353-0729-4132-b934-ffed9b5f81bf,2026-05-29,16:08:43.70,2026-05-29T12:08:43.7074944-04:00,2026-05-29T16:08:43.7074944Z,,v3,227,471336,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,9f798a38-ab43-4cfb-be71-6bf972d12e55,54.83439,-126.51673,12.45823,5.66231,-2.25775,-11.4324,1.59986,-4.16469,-1.37034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-05-29,12:09:00.02,2,3,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Decandido, Riley",1000092865,Left,LIB_FLA,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.7073,-1.775455,2.277051,2167.692593,174.073426,11:45,5.96897,-0.93684,5.64392,-13.18091,20.21603,-1.99354,3.21251,1.02227,84.18119,-4.292695,1.92143,0.415934,,,,,,,,,,,,1.60165,11.01796,0.74469,50,5.80974,-5.20265,-133.09399,-4.50681,2.89056,26.9263,-12.28971,BOC_EAG,LIB_FLA,UGeorgia,D1,SEC,20260529-UGeorgia-1,b9180bc0-5b78-11f1-8b41-2fa142449b60,90.62113,,,7.52611,,,,,,,f32c6353-0729-4132-b934-ffed9b5f81bf,2026-05-29,16:09:00.02,2026-05-29T12:09:00.0293376-04:00,2026-05-29T16:09:00.0293376Z,,v3,227,471336,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,83513a5a-acd6-4837-b08e-c43569356713,54.85587,-134.07278,13.46315,5.96545,-4.06007,-6.14486,0.93573,-5.30772,1.44528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-05-29,12:09:17.11,2,4,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Decandido, Riley",1000092865,Left,LIB_FLA,Undefined,1,Top,1,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.49328,-1.199757,2.817616,2230.245319,172.003348,11:45,5.89741,-0.97203,5.89548,-12.52217,20.07556,-2.67933,3.73847,1.42282,84.67728,-3.613727,2.337801,0.410927,,,,,,,,,,,,2.12063,10.88997,0.74651,50,5.79338,-6.48822,-134.23227,-3.14692,3.88333,28.06319,-12.23233,BOC_EAG,LIB_FLA,UGeorgia,D1,SEC,20260529-UGeorgia-1,c3499aa0-5b78-11f1-8b41-2fa142449b60,91.72528,,,7.816,,,,,,,f32c6353-0729-4132-b934-ffed9b5f81bf,2026-05-29,16:09:17.11,2026-05-29T12:09:17.1153408-04:00,2026-05-29T16:09:17.1153408Z,,v3,227,471336,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,bd6a3649-8f6a-40d0-82b6-bf2cec95e3c3,54.60405,-135.19139,14.0316,5.89379,-2.72886,-6.11617,0.97052,-6.62094,1.94166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-05-29,12:09:31.55,2,5,"Colarusso, AJ",1000090794,Left,BOC_EAG,"Decandido, Riley",1000092865,Left,LIB_FLA,Undefined,1,Top,1,2,2,FourSeamFastBall,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,91.53289,-1.307426,0.624425,2174.017336,168.883171,11:45,5.93997,-0.96992,5.53592,-14.62009,18.7704,-3.50362,3.49926,-0.6782,84.53879,-4.06642,-0.000189,0.415894,,,,,,,,,,,,1.93374,10.12571,0.91817,50,5.81696,-1.29542,-133.05804,-3.50197,3.50921,25.27121,-13.79851,BOC_EAG,LIB_FLA,UGeorgia,D1,SEC,20260529-UGeorgia-1,cbdf05b0-5b78-11f1-8b41-2fa142449b60,90.62984,,,6.9941,,,,,,,f32c6353-0729-4132-b934-ffed9b5f81bf,2026-05-29,16:09:31.55,2026-05-29T12:09:31.5555328-04:00,2026-05-29T16:09:31.5555328Z,,v3,227,471336,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,c4a04c4c-c5ea-4eaa-8174-5bdb4612d37b,54.966,-133.9979,12.63561,5.93766,-2.98879,-6.89926,0.96877,-1.42593,1.7546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
