PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-05-30,12:06:28.96,1,1,"DeCastro, Justin",1000214319,Right,LON_ISL22,"Solier, Julio",827632,Right,BOC_EAG,Undefined,1,Top,0,0,0,FourSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.19273,-1.209462,-4.568471,1916.723755,238.434865,2:00,5.3822,3.35252,4.63949,-31.70695,12.14721,17.29658,1.58669,0.44293,74.71737,-6.9864,-1.546015,0.476625,,,,,,,,,,,,-9.81607,6.72374,-2.90054,50,5.22955,8.71252,-118.73092,-3.68683,-13.93604,23.8861,-22.62821,LON_ISL22,BOC_EAG,UGeorgia,D1,SEC,20260530-UGeorgia-2,84e31420-5c41-11f1-b655-c184a3b66953,79.08194,,,7.47536,,,,,,,e05d7630-7974-49ec-87dc-a17c6b7dde8c,2026-05-30,16:06:28.96,2026-05-30T12:06:28.9659904-04:00,2026-05-30T16:06:28.9659904Z,,v3,longisland,227,,"Durso, Joe",1000113947,Right,LON_ISL22,494e9436-d8d3-4518-a502-4915e3a87ccf,55.86051,-119.90413,11.94305,5.38334,-2.5754,-11.3141,-3.34529,9.39701,-6.96802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-05-30,12:06:45.83,1,2,"DeCastro, Justin",1000214319,Right,LON_ISL22,"Solier, Julio",827632,Right,BOC_EAG,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Double,0,0,,77.47603,0.311625,-5.383788,2166.401393,247.361218,2:15,5.02935,3.65938,5.0005,-39.93856,8.69689,16.94477,1.99664,-0.02624,70.62769,-6.967332,-2.409943,0.501936,103.182,21.114915,-4.616502,2125.963534,109.85049,39.7255,-5.73241,382.7035,374.66423,0.575174,4.301019,-10.01225,4.65063,-3.15512,50,5.02717,9.87037,-111.92563,-0.74413,-12.66317,20.75964,-26.29209,LON_ISL22,BOC_EAG,UGeorgia,D1,SEC,20260530-UGeorgia-2,8eef67c0-5c41-11f1-b655-c184a3b66953,75.09417,57.97005,,6.84834,,,,2.00613,2.12196,0.01017,e05d7630-7974-49ec-87dc-a17c6b7dde8c,2026-05-30,16:06:45.83,2026-05-30T12:06:45.8357760-04:00,2026-05-30T16:06:45.8357760Z,LineDrive,v3,longisland,227,,"Durso, Joe",1000113947,Right,LON_ISL22,84be1f11-62ee-4812-b90f-a9b97e4824d9,55.50119,-112.94136,10.37982,5.03211,0.5423,-13.14605,-3.65322,10.48996,-6.33158,201.574388,2.00605,140.71432,-25.21744,5.81692,-1.22243,0.25288,-0.0455,0.00533,-0.00027,2.12236,54.51016,-13.43738,-0.18815,0.26701,-0.11501,0.02818,-0.0033,0.00014,0.01011,-11.35934,6.92279,-1.96638,0.47872,-0.10979,0.02072,-0.00248,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-05-30,12:07:43.32,2,1,"DeCastro, Justin",1000214319,Right,LON_ISL22,"Mainolfi, Ty",839397,Left,BOC_EAG,Undefined,1,Top,0,0,0,FourSeamFastBall,Changeup,InPlay,Undefined,Bunt,Sacrifice,1,0,,82.6074,-0.855208,-5.804259,1956.203334,239.183816,2:00,5.17111,3.51545,4.68993,-31.23202,11.96666,17.68198,1.75219,-0.54107,75.44938,-6.535772,-2.722461,0.473049,32.53789,-72.775418,-10.172285,,,,,3.80943,3.80942,5.239571,0.042281,-10.34438,6.49087,-2.94124,50,5.05614,11.34443,-119.23385,-2.94256,-14.90783,22.69189,-22.81968,LON_ISL22,BOC_EAG,UGeorgia,D1,SEC,20260530-UGeorgia-2,b1313de0-5c41-11f1-b655-c184a3b66953,79.6797,1.95319,,7.15802,,,,3.19749,1.95319,0.45482,e05d7630-7974-49ec-87dc-a17c6b7dde8c,2026-05-30,16:07:43.32,2026-05-30T12:07:43.3245696-04:00,2026-05-30T16:07:43.3245696Z,GroundBall,v3,longisland,227,,"Durso, Joe",1000113947,Right,LON_ISL22,95c786cc-ff62-4fbf-8aeb-9c6ed2e1ff09,55.81211,-120.33489,11.34594,5.17205,-1.83532,-11.40984,-3.50924,12.06778,-7.45391,,3.19622,14.09646,,,,,,,,1.95736,-46.19539,,,,,,,,0.45505,-2.52931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-05-30,12:08:21.35,3,1,"DeCastro, Justin",1000214319,Right,LON_ISL22,"Wang, Nick",813482,Right,BOC_EAG,Undefined,1,Top,1,0,0,Slider,Changeup,InPlay,Undefined,LineDrive,Single,0,1,,77.51597,0.197769,-4.499875,2000.615391,224.326676,1:30,5.11874,3.62639,5.28474,-40.96738,6.67555,5.09654,1.89109,-0.18348,71.34632,-7.267258,-3.599574,0.496788,105.81361,9.982257,-7.195856,2416.823957,109.11447,12.43763,-13.92899,209.98819,209.6364,-7.888589,1.734938,-3.77418,3.69831,-3.21924,50,5.10669,8.63653,-112.24215,-0.96565,-4.83281,19.60223,-27.4384,LON_ISL22,BOC_EAG,UGeorgia,D1,SEC,20260530-UGeorgia-2,c7e02060-5c41-11f1-b655-c184a3b66953,75.87234,12.43769,,6.16966,,,,0.84751,1.81779,0.24214,e05d7630-7974-49ec-87dc-a17c6b7dde8c,2026-05-30,16:08:21.35,2026-05-30T12:08:21.3556736-04:00,2026-05-30T16:08:21.3556736Z,LineDrive,v3,longisland,227,,"Durso, Joe",1000113947,Right,LON_ISL22,1f43f9d3-df24-42c7-b369-e1859b383254,55.21674,-113.14955,9.80112,5.12199,0.30449,-13.7192,-3.62421,8.86024,-2.41641,169.145033,0.84752,151.63799,-25.49258,5.42889,-0.87073,-0.27863,0.3597,-0.14494,0.02156,1.81777,26.90365,-18.09936,1.63979,-0.71508,0.69194,-0.48773,0.17853,-0.02585,0.24212,-19.14255,2.73289,-1.01383,-0.25885,0.81375,-0.66061,0.24875,-0.03633,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-05-30,12:08:59.46,4,1,"DeCastro, Justin",1000214319,Right,LON_ISL22,"Toomey, Jack",809057,Right,BOC_EAG,Undefined,1,Top,1,0,0,FourSeamFastBall,Changeup,InPlay,Undefined,FlyBall,Out,2,0,,82.31122,-0.486194,-5.0521,2021.235393,235.537227,1:45,5.41193,3.3262,4.72973,-30.59647,13.05654,16.80749,2.39911,-0.07905,74.64107,-6.086875,-2.115161,0.475531,102.2102,24.56698,-1.856004,2494.592542,109.99695,48.43089,-0.81079,389.40979,383.49252,2.087176,4.782186,-9.79355,6.9704,-2.83146,50,5.33618,9.76591,-118.85323,-2.121,-13.91921,24.13995,-22.26726,LON_ISL22,BOC_EAG,UGeorgia,D1,SEC,20260530-UGeorgia-2,de948120-5c41-11f1-b655-c184a3b66953,79.26394,72.50426,,7.67015,,,,1.02941,2.41116,0.09285,e05d7630-7974-49ec-87dc-a17c6b7dde8c,2026-05-30,16:08:59.46,2026-05-30T12:08:59.4655232-04:00,2026-05-30T16:08:59.4655232Z,FlyBall,v3,longisland,227,,"Durso, Joe",1000113947,Right,LON_ISL22,c3547c39-7efc-4ff3-b642-60d4cf79fdd8,55.77071,-120.01958,12.06997,5.41267,-1.04513,-11.13363,-3.31956,10.43844,-6.9596,196.225676,1.02962,136.26157,-26.00384,6.05103,-1.19248,0.21745,-0.03602,0.00421,-0.00022,2.41217,62.30146,-14.0101,-0.22166,0.28931,-0.12613,0.0338,-0.00455,0.00024,0.0923,-4.40305,4.8217,-1.45457,0.26883,-0.02872,0.00121,1E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-05-30,12:15:32.27,1,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Sorensen, Noah",808816,Right,LON_ISL22,Undefined,1,Bottom,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.19759,-2.598253,2.120504,2244.353018,143.972648,10:45,5.74988,-1.2526,5.59727,-19.83599,16.62009,-11.21634,1.66768,-0.20657,80.57703,-6.31645,0.118968,0.434566,,,,,,,,,,,,6.27819,9.51016,1.07822,50,5.5142,-4.24817,-127.85627,-6.44012,10.37615,26.74731,-16.45636,LON_ISL22,BOC_EAG,UGeorgia,D1,SEC,20260530-UGeorgia-2,c8b8d7b0-5c42-11f1-b655-c184a3b66953,86.73574,,,7.62056,,,,,,,e05d7630-7974-49ec-87dc-a17c6b7dde8c,2026-05-30,16:15:32.27,2026-05-30T12:15:32.2708992-04:00,2026-05-30T16:15:32.2708992Z,,v3,longisland,227,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,2adf5074-5922-466f-bab4-e895ed9f0964,54.90255,-128.8778,13.37366,5.74815,-5.81162,-8.22818,1.24803,-4.64445,5.18808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-05-30,12:15:46.32,1,2,"Mudd, Tyler",809052,Left,BOC_EAG,"Sorensen, Noah",808816,Right,LON_ISL22,Undefined,1,Bottom,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.16206,-0.153933,2.678347,2342.822798,255.557506,2:30,5.01641,-2.21101,5.3371,-42.87644,3.14256,6.13445,1.2988,0.81484,72.1686,-7.98309,3.766945,0.488248,,,,,,,,,,,,-2.26193,2.06445,1.96449,50,4.9718,-5.61038,-114.70114,-1.76323,-2.98215,23.26842,-29.45226,LON_ISL22,BOC_EAG,UGeorgia,D1,SEC,20260530-UGeorgia-2,d116df10-5c42-11f1-b655-c184a3b66953,77.19944,,,6.99346,,,,,,,e05d7630-7974-49ec-87dc-a17c6b7dde8c,2026-05-30,16:15:46.32,2026-05-30T12:15:46.3204864-04:00,2026-05-30T16:15:46.3204864Z,,v3,longisland,227,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,a05d3c3d-5c48-41d4-b98f-4e2d670e3b35,55.16282,-115.74374,11.63421,5.02124,-0.44355,-14.72613,2.21288,-5.47676,-1.49108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-05-30,12:16:00.34,1,3,"Mudd, Tyler",809052,Left,BOC_EAG,"Sorensen, Noah",808816,Right,LON_ISL22,Undefined,1,Bottom,0,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.14508,-2.181738,4.164337,2143.592355,128.36738,10:15,5.12496,-1.77325,5.64391,-24.55033,11.69371,-13.38245,1.03751,1.00306,81.17094,-6.721971,1.780519,0.433301,,,,,,,,,,,,7.91209,6.83418,1.42799,50,4.92348,-8.73737,-127.72051,-5.71482,13.15908,24.61303,-20.80773,LON_ISL22,BOC_EAG,UGeorgia,D1,SEC,20260530-UGeorgia-2,d96f6830-5c42-11f1-b655-c184a3b66953,86.98904,,,6.97414,,,,,,,e05d7630-7974-49ec-87dc-a17c6b7dde8c,2026-05-30,16:16:00.34,2026-05-30T12:16:00.3440128-04:00,2026-05-30T16:16:00.3440128Z,,v3,longisland,227,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,50c2438e-898f-41e5-bff9-8f69390f6fe4,54.85835,-128.65335,12.30652,5.12513,-4.9262,-10.40387,1.76859,-9.23611,6.57954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-05-30,12:16:14.64,1,4,"Mudd, Tyler",809052,Left,BOC_EAG,"Sorensen, Noah",808816,Right,LON_ISL22,Undefined,1,Bottom,0,2,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,89.82963,-1.745035,2.063862,2342.860674,157.096397,11:15,5.67129,-1.15458,5.71201,-13.8017,21.36863,-8.51359,2.89382,0.05959,81.36941,-4.414645,0.542386,0.426835,92.61576,-3.844306,-5.252949,,,,,28.77416,28.15904,-5.542864,0.212214,4.95862,11.75375,0.98715,50,5.51684,-4.32178,-130.23617,-4.3413,8.44455,29.51176,-12.15738,LON_ISL22,BOC_EAG,UGeorgia,D1,SEC,20260530-UGeorgia-2,e1f2aad0-5c42-11f1-b655-c184a3b66953,88.30688,2.87219,,8.46023,,,,0.86795,2.87219,-0.05717,e05d7630-7974-49ec-87dc-a17c6b7dde8c,2026-05-30,16:16:14.64,2026-05-30T12:16:14.6406400-04:00,2026-05-30T16:16:14.6406400Z,GroundBall,v3,longisland,227,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,b9290134-180d-447c-97e2-83344222769c,54.7872,-131.31647,14.75588,5.66761,-3.89626,-6.07869,1.15101,-4.63091,4.22228,30.368633,0.86909,134.8899,-19.01037,,,,,,,2.87343,-9.18501,-20.54988,,,,,,,-0.05686,-12.42786,-1.89603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-05-30,12:16:55.46,2,1,"Mudd, Tyler",809052,Left,BOC_EAG,"Rivera, Ryan",833424,Right,LON_ISL22,Undefined,1,Bottom,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.28693,3.426456,0.553692,2448.263617,266.087491,2:45,5.73904,-1.28569,5.4284,-47.9718,1.95626,7.62851,4.9546,-0.13137,69.25474,-5.344653,1.909256,0.508562,,,,,,,,,,,,-3.67351,0.58535,1.23121,50,6.00996,-1.3469,-109.21189,4.98659,-4.47121,17.83324,-31.46158,LON_ISL22,BOC_EAG,UGeorgia,D1,SEC,20260530-UGeorgia-2,fa590150-5c42-11f1-b655-c184a3b66953,74.11573,,,6.03219,,,,,,,e05d7630-7974-49ec-87dc-a17c6b7dde8c,2026-05-30,16:16:55.46,2026-05-30T12:16:55.4647040-04:00,2026-05-30T16:16:55.4647040Z,,v3,longisland,227,,"Johnson, Gunnar",1000100233,Right,BOC_EAG,8a55ad3f-cf5c-4b73-b5ba-ed417863c380,55.07261,-110.03708,8.91662,5.74553,6.4424,-15.73079,1.28875,-1.14,-2.23561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
