PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-05-03,12:02:01.23,1,1,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Solier, Julio",827632,Right,BOC_EAG,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,89.97066,-1.336665,-2.323444,2195.458983,233.284203,1:45,5.76883,1.39597,6.04137,-19.84123,14.58981,18.05036,2.87657,0.74777,82.00191,-5.090635,0.924144,0.422325,67.62303,22.629052,14.531078,3294.133152,103.6191,25.64354,36.91866,190.01922,189.17149,23.935212,2.650557,-9.96938,8.23512,-1.22446,50,5.65384,4.54557,-130.6151,-3.65543,-17.16133,28.42217,-17.99807,CLE_TIG,BOC_EAG,KingsmoreStadium,D1,ACC,20260503-KingsmoreStadium-1,6c087f50-4709-11f1-b497-df7d62a15d39,89.24989,25.90194,,7.96875,,,,0.82854,2.84614,-0.75796,72f6de13-1d93-4970-ba1f-d228c2c20064,2026-05-03,16:02:01.23,2026-05-03T12:02:01.2377600-04:00,2026-05-03T16:02:01.2377600Z,LineDrive,v3,471272,227,6ed29b00c27e5c15c90e,"Jarrell, Jacob",703447,Right,CLE_TIG,b4ba1801-eb53-43b8-87ed-db2aadb733f0,54.45803,-131.5816,14.21109,5.76774,-3.04341,-8.99904,-1.38896,5.12915,-8.58067,237.997885,0.82848,88.61978,-12.9975,2.42965,-0.46019,0.0595,0.00302,-0.00419,0.00072,2.8462,38.15731,-16.78737,0.92897,-0.12095,0.04364,-0.02371,0.00868,-0.00117,-0.75782,22.96185,4.47261,-1.43168,0.42315,-0.10719,0.01842,-0.00056,-0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-05-03,12:02:43.13,2,1,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Wang, Nick",813482,Right,BOC_EAG,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.10866,-1.348574,-2.17905,2108.752059,227.99131,1:30,5.77918,1.56954,5.96209,-19.2258,15.01654,15.49091,2.92542,0.83893,82.55061,-4.975154,0.603925,0.421166,,,,,,,,,,,,-8.54441,8.40048,-1.40523,50,5.66134,4.32669,-130.87036,-3.67813,-14.85388,27.00119,-17.5704,CLE_TIG,BOC_EAG,KingsmoreStadium,D1,ACC,20260503-KingsmoreStadium-1,85028a50-4709-11f1-b497-df7d62a15d39,89.4955,,,7.55804,,,,,,,72f6de13-1d93-4970-ba1f-d228c2c20064,2026-05-03,16:02:43.13,2026-05-03T12:02:43.1323136-04:00,2026-05-03T16:02:43.1323136Z,,v3,471272,227,6ed29b00c27e5c15c90e,"Jarrell, Jacob",703447,Right,CLE_TIG,ef764dc9-3358-4c48-8e57-9c80c5eff035,54.53744,-131.8032,13.50059,5.77793,-3.0711,-8.7852,-1.56358,4.83986,-7.42694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-05-03,12:03:01.48,2,2,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Wang, Nick",813482,Right,BOC_EAG,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.97337,-2.833593,-3.07316,2267.075753,228.323818,1:30,5.73862,1.45304,5.91161,-16.98973,16.12686,16.90765,1.6869,0.00695,84.06658,-6.048297,-0.041058,0.414185,,,,,,,,,,,,-9.49642,9.36981,-1.2159,50,5.50115,6.41946,-133.31662,-7.12922,-17.09149,28.65253,-15.3104,CLE_TIG,BOC_EAG,KingsmoreStadium,D1,ACC,20260503-KingsmoreStadium-1,8fee6880-4709-11f1-b497-df7d62a15d39,91.00386,,,7.90679,,,,,,,72f6de13-1d93-4970-ba1f-d228c2c20064,2026-05-03,16:03:01.48,2026-05-03T12:03:01.4818816-04:00,2026-05-03T16:03:01.4818816Z,,v3,471272,227,6ed29b00c27e5c15c90e,"Jarrell, Jacob",703447,Right,CLE_TIG,ff9cc5f4-5646-4e3a-a272-3d4ce61b377f,54.58755,-134.29896,14.32626,5.73657,-6.60431,-7.6552,-1.44603,7.00543,-8.54575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-05-03,12:03:22.54,2,3,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Wang, Nick",813482,Right,BOC_EAG,Undefined,1,Top,0,0,2,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.24056,-2.166276,-2.578586,2209.402522,224.723751,1:30,5.8223,1.35155,5.95772,-15.38843,16.56119,15.43383,2.52807,0.24487,85.58336,-5.087124,0.19254,0.406822,,,,,,,,,,,,-8.55469,9.35544,-1.15502,50,5.64129,5.41226,-135.34469,-5.58723,-15.95481,28.02911,-14.72581,CLE_TIG,BOC_EAG,KingsmoreStadium,D1,ACC,20260503-KingsmoreStadium-1,9c7b9aa0-4709-11f1-b497-df7d62a15d39,92.65101,,,7.65719,,,,,,,72f6de13-1d93-4970-ba1f-d228c2c20064,2026-05-03,16:03:22.54,2026-05-03T12:03:22.5408000-04:00,2026-05-03T16:03:22.5408000Z,,v3,471272,227,6ed29b00c27e5c15c90e,"Jarrell, Jacob",703447,Right,CLE_TIG,30f93f09-c0f3-48e6-9ee8-0d36b2058e0d,54.54138,-136.28194,14.01456,5.81988,-5.09483,-7.3629,-1.34492,5.94577,-7.97741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-05-03,12:03:45.52,2,4,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Wang, Nick",813482,Right,BOC_EAG,Undefined,1,Top,0,0,2,ChangeUp,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,75.97957,1.296463,-0.756226,1995.605494,257.869822,2:30,5.89055,1.23558,6.43238,-42.58085,4.99028,16.07174,3.53397,1.87984,69.42339,-6.670522,2.159304,0.496413,39.3699,15.018184,156.737813,5192.196815,,,,50.98769,46.79115,161.145509,0.993998,-8.62548,2.68374,-1.18863,50,5.96377,0.92006,-110.44401,1.34475,-10.58991,20.77313,-28.87908,CLE_TIG,BOC_EAG,KingsmoreStadium,D1,ACC,20260503-KingsmoreStadium-1,aa373aa0-4709-11f1-b497-df7d62a15d39,75.9296,6.32964,,6.55618,,,,0.26592,3.40604,-1.9188,72f6de13-1d93-4970-ba1f-d228c2c20064,2026-05-03,16:03:45.52,2026-05-03T12:03:45.5254016-04:00,2026-05-03T16:03:45.5254016Z,GroundBall,v3,471272,227,6ed29b00c27e5c15c90e,"Jarrell, Jacob",703447,Right,CLE_TIG,33cb92cf-c78b-4f5c-8cdc-12019ca78aa5,54.06723,-111.20637,10.38657,5.89497,2.4046,-14.43954,-1.22952,1.3087,-5.29495,313.883661,0.26592,-51.23629,2.1526,0.36324,-0.23882,0.41475,-0.49574,0.34279,-0.09699,3.40604,14.9625,-19.59897,1.31807,-0.23075,-0.04417,0.12302,-0.08613,0.0244,-1.9188,22.02566,-3.91893,0.48853,0.01367,-0.38266,0.52011,-0.36076,0.10217,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-05-03,12:04:39.44,3,1,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Mainolfi, Ty",839397,Left,BOC_EAG,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.80159,-1.67443,-0.52931,2101.371198,225.579761,1:30,5.70478,1.49185,5.96865,-17.34214,15.94032,15.11517,2.70665,2.26069,83.36764,-4.973003,2.188172,0.415221,,,,,,,,,,,,-7.89461,9.0163,-1.45816,50,5.56248,0.57147,-133.25413,-4.41686,-14.07961,30.80497,-16.09394,CLE_TIG,BOC_EAG,KingsmoreStadium,D1,ACC,20260503-KingsmoreStadium-1,ca57b760-4709-11f1-b497-df7d62a15d39,90.77686,,,8.43394,,,,,,,72f6de13-1d93-4970-ba1f-d228c2c20064,2026-05-03,16:04:39.44,2026-05-03T12:04:39.4416128-04:00,2026-05-03T16:04:39.4416128Z,,v3,471272,227,6ed29b00c27e5c15c90e,"Jarrell, Jacob",703447,Right,CLE_TIG,95327b95-d26b-4722-906c-ee6b8d930884,54.52906,-134.29705,15.40249,5.7028,-3.87199,-8.04697,-1.48557,1.04814,-7.0398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-05-03,12:06:18.77,3,2,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Mainolfi, Ty",839397,Left,BOC_EAG,Undefined,1,Top,0,1,0,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.25645,-2.533648,-2.916323,2144.517283,224.612149,1:30,5.73012,1.67501,6.05037,-13.95709,18.92438,17.5658,2.21701,0.43679,83.82165,-5.226969,0.241831,0.412712,,,,,,,,,,,,-9.83197,10.78965,-1.45695,50,5.52501,6.04196,-133.72802,-6.29428,-17.71043,30.25851,-12.7386,CLE_TIG,BOC_EAG,KingsmoreStadium,D1,ACC,20260503-KingsmoreStadium-1,0588ea20-470a-11f1-b497-df7d62a15d39,91.32868,,,8.4348,,,,,,,72f6de13-1d93-4970-ba1f-d228c2c20064,2026-05-03,16:06:18.77,2026-05-03T12:06:18.7782144-04:00,2026-05-03T16:06:18.7782144Z,,v3,471272,227,6ed29b00c27e5c15c90e,"Jarrell, Jacob",703447,Right,CLE_TIG,e80789b5-5a7c-4e63-8ad8-b767ea34d32f,54.44751,-134.7306,15.12925,5.72657,-5.8722,-6.3693,-1.66686,6.62877,-8.85522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-05-03,12:06:41.64,3,3,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Mainolfi, Ty",839397,Left,BOC_EAG,Undefined,1,Top,0,1,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,Bunt,Sacrifice,1,0,,91.52287,-2.342559,-2.784189,2141.993457,228.738775,1:30,5.77186,1.47427,5.96905,-16.97135,16.44611,17.48434,2.18193,0.34793,83.4172,-5.567547,0.35569,0.416062,,,,,,,,,,,,-9.84359,9.46756,-1.26361,50,5.57666,5.71884,-132.74791,-5.94893,-17.50261,29.36009,-15.34005,CLE_TIG,BOC_EAG,KingsmoreStadium,D1,ACC,20260503-KingsmoreStadium-1,13228330-470a-11f1-b497-df7d62a15d39,90.5933,,,8.10567,,,,,,,72f6de13-1d93-4970-ba1f-d228c2c20064,2026-05-03,16:06:41.64,2026-05-03T12:06:41.6418816-04:00,2026-05-03T16:06:41.6418816Z,,v3,471272,227,6ed29b00c27e5c15c90e,"Jarrell, Jacob",703447,Right,CLE_TIG,c8893119-cad6-49d6-aeff-ad6c397634a2,54.5312,-133.74633,14.68005,5.77009,-5.42728,-7.67003,-1.4682,6.31404,-8.7513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-05-03,12:07:19.84,4,1,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Johnson, Gunnar",1000100233,Right,BOC_EAG,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.84087,1.164091,-0.783567,1415.710464,37.564692,7:15,5.83627,1.05756,5.81844,-51.95302,-10.23339,-8.8306,2.58944,-0.40691,75.42769,-8.326281,-2.369004,0.464881,,,,,,,,,,,,4.28945,-5.15303,-0.98819,50,5.90076,1.97225,-118.98274,0.63024,6.15003,22.79473,-39.56227,CLE_TIG,BOC_EAG,KingsmoreStadium,D1,ACC,20260503-KingsmoreStadium-1,29f23420-470a-11f1-b497-df7d62a15d39,81.07979,,,6.41318,,,,,,,72f6de13-1d93-4970-ba1f-d228c2c20064,2026-05-03,16:07:19.84,2026-05-03T12:07:19.8496768-04:00,2026-05-03T16:07:19.8496768Z,,v3,471272,227,6ed29b00c27e5c15c90e,"Jarrell, Jacob",703447,Right,CLE_TIG,53c25332-4f63-41a5-9769-fe375fce219a,54.68402,-119.87674,11.39736,5.84561,2.18186,-19.78113,-1.06081,1.73104,3.07501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-05-03,12:07:36.31,4,2,"Knaak, Aidan",1000092059,Right,CLE_TIG,"Johnson, Gunnar",1000100233,Right,BOC_EAG,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Error,0,1,,76.18311,0.551361,-2.080375,1922.445692,264.101298,2:45,5.79124,1.18802,6.51729,-43.5564,3.32067,18.28635,2.6678,0.80216,70.14177,-7.571832,1.243149,0.492778,81.97157,-8.987136,-34.390238,,,,,17.23172,17.06092,-33.966716,0.13382,-10.2367,1.98047,-1.05083,50,5.81072,3.43697,-110.81218,-0.10246,-12.735,19.70534,-29.71023,CLE_TIG,BOC_EAG,KingsmoreStadium,D1,ACC,20260503-KingsmoreStadium-1,33c32c70-470a-11f1-b497-df7d62a15d39,76.48964,2.68822,,6.04133,,,,1.52596,2.68822,-0.68845,72f6de13-1d93-4970-ba1f-d228c2c20064,2026-05-03,16:07:36.31,2026-05-03T12:07:36.3142144-04:00,2026-05-03T16:07:36.3142144Z,GroundBall,v3,471272,227,6ed29b00c27e5c15c90e,"Jarrell, Jacob",703447,Right,CLE_TIG,326d69b6-8143-4432-aaf7-88ce77c80059,53.98459,-111.51849,9.85267,5.79531,0.96246,-14.85512,-1.1822,3.89345,-6.3675,101.864667,1.52637,97.9525,-19.1777,,,,,,,2.68824,-18.78274,-9.75877,,,,,,,-0.68841,-67.07721,2.07035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
